A: 	ja ik ik vinden deze de raar vorm van van allemaal 
A: 	zitten het lijken op zo'n zo'n satelliet of zo 
A: 	bovenin 
B: 	event kijken 
B: 	zijn dat met zitten er ook zo'n vierkant plaat aan de zijkant of niet 
B: 	die vinden ik een beetje op een satelliet lijken 
A: 	nee 
A: 	ja het hebben wel beneden zeggen maar zo'n zo'n waterslurfachtig 
A: 	zo'n zeggen maar ja je zullen het ook kunnen zien 
B: 	die 
B: 	ja ja 
B: 	zitten bovenin een ruit met aan allebei de kant een dinget ? ja 
A: 	ja juist 
B: 	en en bovenin zeggen maar veel in zo'n zo'n Jvorm zo'n sik of niet 
A: 	ja eigenlijk wel 
B: 	ja 
A: 	weten je wanneer je in het ziekenhuis zijn en dan hebben je van al die Tubes en zo 
B: 	ja ja ja 
B: 	ja 
A: 	dat 
B: 	oké 
A: 	ja kloppen 
B: 	M 
A: 	jou beurt 
B: 	nu hebben ik weer die die met die blauw of met die met die sik onderaan 
A: 	met die ding boven die satelliet of plateau weten ik veel wat het zijn 
B: 	ja 
B: 	ja 
A: 	oké 
A: 	negen 
A: 	die die J zeggen maar met die satelliet daar bovenaan 
B: 	ja 
B: 	H 
B: 	die met die satelliet boven en die sik daaronder 
A: 	ja 
A: 	elf 
A: 	ja die sitconding wat je zeggen of die J en dan die satelliet 
B: 	ja 
B: 	d 
B: 	het zijn die satelliet en die sik 
A: 	ja 
A: 	veertien 
