B: 	het lijken een beetje alsof er iets boven het midden een plateau doorheen zijn maar dan een tafel met twee poot 
B: 	alleen aan de rechterkant zijn die poot dan 
A: 	ja 
B: 	en aan de linkerkant boven nog een klein soort van antennetje 
B: 	en aan de rechterkant een soort van op het tafel maar ook tegen het beker aan nog iets een een blok 
A: 	ja dus een soort alsof het een vierkant zijn en daarin worden het bekert neerzetten laten maar zeggen of 
B: 	ja met die houder volgens mij wat je bedoelen 
A: 	ja 
B: 	ja 
A: 	ja ja inderdaad 
B: 	ja 
A: 	okee en dan hebben het in de lucht hangen er twee poot van het houder en opsteken iets uit aan de linkerzijde 
B: 	ja 
A: 	en dan op het plateaut liggen inderdaad nog een blok 
B: 	ja 
A: 	ja dan zijn het twaalf 
A: 	dit zijn het beker wat zeggen maar in een plateaut zitten met die twee poo die in de lucht hangen 
A: 	met een soort vierkantje op het plateaut laten maar zeggen 
B: 	ja 
B: 	ja 
B: 	ja dat zijn c 
B: 	ja de houder 
B: 	tafel met twee poot 
A: 	in de lucht 
B: 	en ja 
A: 	en aan de linkerzijde nog zo'n dinge 
B: 	ja 
A: 	ja dat zijn nummer drie 
A: 	het plateau door het beker heen met de twee poot in de lucht en nog een blok daar op het plateau 
B: 	ja 
B: 	ja dat zijn f 
B: 	met het houdert met twee loshangen poo 
B: 	zo'n plateau door het midden 
A: 	ah in de lucht de poot 
B: 	ja 
B: 	ja 
A: 	ja nummer tien 
A: 	poot in de lucht van het plateau 
A: 	balk daarop 
A: 	en beker zitten in het houder 
A: 	dus het 
B: 	ja 
B: 	wachten waar zijn hij 
A: 	ja een houder waarin het beker zitten die twee poot hangend in de lucht en 
B: 	ja ja 
B: 	ik hebben hem vinden 
A: 	ah okee 
B: 	m 
