B: 	deze hebben een vierkant plateau iets onder het midden 
A: 	ja 
B: 	denken dat dat al redelijk duidelijk zijn 
A: 	ja 
A: 	ja 
A: 	en zullen ik hem ver beschrijven 
B: 	ja 
A: 	met een soort pijp dat omhoog wijzen aan de linkerkant 
A: 	twee punt bovenop 
B: 	ja 
A: 	en een diagonaal regenpijpje in het midden beetje aan de rechterkant 
B: 	ja 
B: 	ja kloppen 
A: 	oké 
B: 	ja 
A: 	twaalf 
A: 	deze hebben een klein pijp aan de linkerkant 
A: 	en zeggen maar niet halverwege maar op te hoogte van een drie van de emmer van de onderkant zien , zijn er een soort vierkant blad om de heel emmer heen , lijken het 
A: 	aan de bovenkant hebben hij twee 
B: 	schoorsteent ja 
A: 	ja schoorsteent 
B: 	ja 
A: 	en aan de voorkant ook een soort afvoerbuis of ik weten niet 
B: 	ja 
B: 	dat zijn M 
B: 	deze hebben zo'n vierkant rondom iets onder het midden zeggen maar 
A: 	ja 
A: 	en één en een soort pijp dat zo aan de linkerkant eruit komen 
B: 	ja 
A: 	ja 
A: 	nummer vier 
A: 	deze zijn met dat pijp aan de linkerkant , hij roken pijp 
A: 	aan de linkerkant , en hij hebben bovenop twee haartje , na ja twee staaf die er uitsteken en halverwege zijn middel zijn er dat vierkant 
B: 	vierkant 
A: 	ja 
B: 	ja dat zijn C 
B: 	deze hebben het vierkant iets onder het midden 
B: 	en twee schoorsteen er bovenop 
A: 	ja 
A: 	en een pijp 
B: 	ja 
A: 	nummer elf 
A: 	deze zijn met het pijp en de een een vierkant plank als soort van tutu , hoe noemen je dat , die ballerina , zo'n jurk lijken het wel , zo'n 
