A: 	one de mok hebben aan beide kant een soort van staafachtig dinge erdoorheen 
A: 	en echt aan de voorkant hebben zitten er een een een blok een soort van Buis nee niet buis want het zijn een balk 
A: 	zitten aan de voorkant van de mok 
A: 	en dan zitten erbovenop een ronde bol 
A: 	en aan de linkerkant ook een soort L'etje wat erdoorheen gaan en die komen er aan de ander kant uit 
B: 	oké 
B: 	die balk aan de voorkant zijn gewoon een een een zeggen maar rechthoekig deze hebben ver geen dinget 
A: 	ja 
A: 	nee 
B: 	en de de staaf die erdoorheen gaan die zitten aan de linkerkant iets laag dan aan de rechterkant 
A: 	ja 
A: 	kloppen en er zitten bovenin echt een bal die erin zakken zeggen maar 
B: 	ik noemen dat een ei 
A: 	een ei 
B: 	ik vinden het een ei 
A: 	ja ja 
B: 	ja dat zijn bij mij d 
A: 	oké 
B: 	dit zijn een mok met daarvoor de balk 
B: 	die staan er net iets rechts van het midden voor zweven ei Erboven 
A: 	ja 
B: 	aan deze kant die en en een klein stuk daarboven zitten ook weer zo'n dinge 
A: 	ja nummer vijftien 
A: 	deze hebben dat ei bovenop liggen een balk aan de voorkant 
A: 	en dan een soort Lvormig ding er link in en aan de rechterkant komen nog een klein staaf eruit 
B: 	ja dat zijn bij mij L 
B: 	dit zijn die met het ei dat erboven zweeven 
B: 	zitten een balk voor 
A: 	ja 
B: 	armp links en een staaf rechts 
A: 	ja nummer zes 
A: 	dit zijn met het ei die daarboven vliegen zweeven 
A: 	met die balk vooraan 
A: 	en die Ldinge link en dan een kort balkje rechts 
B: 	ja 
B: 	dat zijn bij mij J 
B: 	dit zijn die met de balk ervoor ei dat erboven zweeven armp zo stompje daar 
A: 	ja drie 
