A: 	oké 
A: 	Bekervormpje 
A: 	er zitten een bal op de bovenkant 
B: 	oké 
A: 	je zien 
B: 	dan zijn het D 
B: 	de staaf ervoor 
A: 	ja kloppen 
B: 	d 
B: 	oké 
B: 	het er zitten een bal op 
B: 	dat zijn er eigenlijk maar één 
A: 	er zitten een bal op en er zitten een balk voor 
B: 	ja 
A: 	oké ja 
A: 	dat zijn vijftien 
A: 	er zitten een bal op 
A: 	en een balk ervoor 
B: 	dat zijn L 
B: 	waar de bal op liggen 
A: 	waar de bal op liggen 
A: 	ja 
A: 	en zo'n balk ervoor 
B: 	ja 
A: 	oké 
A: 	dat zijn zes 
A: 	er zitten een bal op met een staaf dun balk balk ervoor 
B: 	dat zijn J 
B: 	dit zijn die waar de bal op liggen 
A: 	ja oké er zijn maar één bal 
A: 	dat zijn drie de balk toch ervoor 
B: 	ja 
A: 	oké 
