A: 	yes 
A: 	oké nou ik zien rood vierkant om 
A: 	nou ja het zijn dus weer een kop met een bol die aan de voorkant aan de rechterkant zitten 
B: 	oké 
A: 	en door die bol heen zitten een een rechthoekig stok met één met daar ook een 
A: 	een cirkel aan aan de rechterkant 
B: 	zijn het F 
B: 	want ik denken dat ik hem nu zien 
A: 	en en er zitten aan de bovenkant een soort van ja een pluk 
B: 	ja 
A: 	naar de die naar de linkerkant gaan 
B: 	ik zien hem 
A: 	oké 
B: 	het zijn F 
A: 	oké 
B: 	het zijn weer het het kop met het bolle 
B: 	en er opsteken dan één door dat bolletje steken dan een balk 
A: 	ja 
B: 	met een ja het zijn een beetje een spijker zo 
A: 	en dan dat sprie aan de bovenkant 
B: 	sprie aan de bovenkant 
A: 	ja oké dat zijn dus vijf voor mij 
B: 	oké 
A: 	oké dit zijn weer die een met met het sprie aan de bovenkant en de bol met met het ding erdoorheen 
B: 	zijn A 
A: 	oké 
B: 	nou dit zijn dan weer de die een met de spijker door de bol 
A: 	ja 
B: 	en het flupje bovenop 
A: 	dat zijn vijf 
A: 	oké dit zijn weer het bolletje met het ding erdoorheen en het sprie 
B: 	zijn H 
A: 	yes 
B: 	het zijn die een weer met de spijker door de bol 
A: 	ja 
A: 	vijftien 
