A: 	deze hebben een zeggen maar driehoek die niet helemaal zijn afmaken aan de bovenkant dus dus een soort van vierhoek met Schuine 
A: 	wand en één en dan hebben die twee balk aan de rechterkant 
A: 	aan de linkerkant een dinge in het midden en dan linksonder ook een ja dinge maar die twee balk aan de rechterkant die zijn wel duidelijk 
B: 	die zijn zijn gelijk ja 
B: 	dat zijn bij mij I 
B: 	en dit zijn dat ding met dat vierkantje erop die niet afmaken zijn en dan rechterkant twee van die plaat die hetzelfde zijn 
A: 	ja en dan links 
B: 	link zo ja lijken een deurklink vinden ik het op lijken 
A: 	ja en dan dat klein ronde voerbak of zo aan de dat zijn nummer twee 
B: 	ja 
A: 	de kop met het nietafgemaakte driehoek de deurklink en de twee staaf aan de rechterkant 
B: 	ja 
B: 	oké 
B: 	dat zijn M 
B: 	dit zijn die met die die deurklink zullen ik maar zeggen met die twee vierkant rechts en het nietafgemaakken 
A: 	yes en het nietafgemaakte driehoek 
B: 	ja 
A: 	nummer negen 
A: 	ja de deurklink nietafgemaakte driehoek en de twee balk 
B: 	ja 
B: 	dat zijn F 
B: 	dit zijn de deurklink met het nietafgemaakte driehoek bovenop 
A: 	ja 
A: 	nummer zes 
