A: 	nee deze vinden ik niet leuk 
B: 	ja sommig lijk te veel op elkaar 
A: 	deze kunnen ik niet hij hebben niks herkenbaar vinden ik 
B: 	oké 
A: 	hij hebben het zijn het zijn een een cup hij staan gewoon net 
B: 	ja 
A: 	en hij hebben twee uitsteeksel aan beide kant 
B: 	ja 
A: 	die die vrij op elkaar lijken één zijn iets lang één zijn iets kort met een bolle aan de uiteinde 
B: 	ja 
A: 	en dan hebben die een soort ja ik vinden het een zonnepaneel of zo aan de achterkant 
B: 	ja 
B: 	oké ja 
B: 	ja ik vinden dat een beetje dat die staaf lijken een beetje alsof die er doorheen doorgaan inderdaad de een kant zijn een beetje kort en de ander kant zijn lang 
A: 	ja 
A: 	ja oké 
B: 	ja oké dan zijn dat bij mij K 
B: 	oké dit zijn met die die balk erdoorheen met die bollet aan het eind 
B: 	waarbij die aan de een kant zo'n klein stuk arm hebben en aan de ander kant een lang stuk en dan dat zonnescherm aan de achterkant 
A: 	ja 
A: 	ja 
A: 	en het zonnepaneel ja 
A: 	oké super nummer negen 
A: 	ja 
A: 	ik hebben diegene met de de de zonnepaneel op de achterkant en die twee raar uitsteeksel die erdoorheen 
B: 	ja die twee die staaf zeggen maar 
A: 	ja 
B: 	ja 
B: 	dat zijn bij mij F 
A: 	ja 
A: 	oké 
B: 	oké ik hebben weer die met dat zonnepaneel en die staaf die er zo doorheen zitten 
A: 	ja 
A: 	ah daar nummer drie 
B: 	ze zijn weer veranderen 
A: 	ja 
A: 	ja de zonnepaneel en de raar arm 
B: 	oké 
B: 	even kijken waar die zijn 
A: 	de ongelijk arm 
B: 	daar 
B: 	L 
B: 	ja niet die maar zeggen maar die 
A: 	ja de ongelijk ja 
B: 	ja 
B: 	dat zijn L 
B: 	oké 
B: 	Jezus 
B: 	dit zijn die met die met die één kort arm één lang arm en die bollet en dan het zonnepaneel aan de achterkant 
A: 	ja ik zoeken hem 
B: 	moeten we weer even leren waar al die plaat staan 
A: 	ik hebben hem 
A: 	nummer vijf 
