A: 	het zijn een beetje die je hebben dat gewoon die beker en dan hebben je zo'n soort stang horizontaal doorheen met twee bollet aan de uiteinde 
A: 	gewoon die ja die die ja 
B: 	ja en een soort van zonnepaneel aan de acht erachter 
A: 	ja die ja 
B: 	ja dat zijn nummer K 
B: 	dat kop met die twee uitstulpsels en dat soort van zonnepaneel aan de achterkant 
A: 	ja 
A: 	nummer negen 
A: 	die emmer met die met dat paaltje erdoorheen en die twee bollet aan de zijkant 
A: 	en dat zonnepaneel 
B: 	ja 
B: 	dat zijn bij mij waar staan die 
B: 	F 
B: 	ik hebben dan met die twee uittulpsel en de zonnepaneel 
A: 	ja dat zijn Jezus 
A: 	nummer drie 
A: 	die die emmer met die staaf erdoorheen met die bollet aan de zijkant en dat zonnepaneel 
B: 	ja die 
B: 	L 
B: 	ik hebben dat met die ding eruit en dat zonnepaneel 
A: 	ja dat zijn nummer vijf 
