B: 	oké deze vinden ik heel vinden ik de klein eigenlijk van allemaal 
B: 	want zeggen maar een komme en daarvoor zitten zeggen maar soort van een een hand en die houden een klein paal vast 
A: 	ja ja heel stokstijf vinden ik hem staan want die hebben een balk 
B: 	dus die zijn ja 
B: 	zo recht op zijn hoofd zo'n hanenkam zo 
B: 	en dan hebben die hier zo'n paal en dan zitten er hier nog een soort van een komme die andersom zitten een beker die andersom zitten 
A: 	een 
A: 	ja 
A: 	dat zijn nummer acht 
A: 	ja dat zijn met die hanenkam 
A: 	die beker die omgedraaid zitten en die hand die zo'n paal omhoog hebben 
B: 	dat zijn E 
B: 	dit zijn dat compact man met dat staaf in zijn hand 
A: 	ja 
A: 	die stokstijve met die hanenkam 
A: 	dat zijn nummer één 
A: 	dit zijn het poppe met de hanenkam en die ja spastisch met het 
B: 	dat zijn E 
B: 	dit zijn dat poppe dat dat balk vasthouden in zijn hand 
A: 	met die hanenkam weer 
B: 	ja 
A: 	ja 
A: 	nummer zestien 
A: 	dit zijn het poppe die het staaf zo vastheeft en met de hanenkam 
B: 	dat zijn O 
