A: 	nou bovenop eigenlijk een heel ja een punt eigenlijk 
B: 	een soort van piramide die erbovenop staan 
A: 	uitsteeksel 
A: 	ja soort van 
A: 	ja 
B: 	ja en dan aan de linkerkant ook nog een klein pyramide die erin gaan 
A: 	ja een 
A: 	ja 
B: 	nou ja niet echt een pyramide maar 
A: 	nou niet echt een pyramide maar veel een ja potloodpunt 
B: 	een gek toren 
B: 	en dan linksonder een rond 
A: 	ja 
B: 	ja 
B: 	p 
B: 	dit zijn degeen met de pyramide die erbovenop staan 
A: 	de heel puntig ? met 
B: 	de heel puntig inderdaad ja 
A: 	ja 
B: 	en dan soort van toren die er aan de linkerkant nog in komen 
A: 	ja 
B: 	ja 
A: 	acht 
A: 	dit zijn die met de punt aan de bovenkant de de pyramide zeggen maar 
B: 	okee ja en dan nog een klein toren aan de zijkant erin 
A: 	ja 
B: 	ja 
B: 	o 
B: 	dit zijn degeen met de pyramide bovenop 
B: 	en met een toren in de zijkant 
A: 	ja met het toren aan de zijkant een 
A: 	dit zijn die met de pyramide bovenop de punt en dan aan de linkerkant het 
B: 	rond linksonderin 
A: 	ja 
B: 	j 
B: 	met de pyramide bovenop 
B: 	rond linksonderin 
A: 	ja 
B: 	ja 
A: 	en de potloodpunt eruit 
A: 	ja 
A: 	een 
