B: 	okee deze die hebben een vierkant schijf en dat lijken alsof die dwars door de beker heen gaan 
A: 	en zijn dat aan de bovenkant of aan de onderkant want je hebben er twee 
B: 	ja je hebben zeggen maar de schijf als een soort van plateau aan de onderkant maar die bedoelen ik niet 
B: 	ik bedoelen dat hij echt door het beker heen gaan 
A: 	ja maar daar hebben je er ook twee van 
A: 	toch 
A: 	één die zitten veel boven aan het beker en één zitten veel onder aan het beker 
B: 	ja dan bedoelen ik die aan de onderkant 
A: 	aan de onderkant 
B: 	ja 
A: 	dan zijn het nummer veertien 
A: 	dit zijn de plaat die weer beetje redelijk onderaan door de door het kop zijn steken 
A: 	weer van die twee van die punt bovenaan het beker 
B: 	dan hebben ik die net verkeerd doen waarschijnlijk 
B: 	ik denken dat je die net 
A: 	ja net net hebben ik die boven die plaat die daar bovenaan zijn 
B: 	ah shit hebben ik die verkeerd kijken 
A: 	maarja nu zijn het in ieder geval onderaan 
B: 	okee nou dan doen ik hem nu wel goed 
A: 	dus dan moeten je hem nu goed doen ja 
B: 	die zijn die zijn g 
B: 	deze hebben ik net fout maar dat zijn dus de vierkant schijf aan de onderkant die dwars door het kop heen gaan en aan de bovenkant twee identiek ja rechthoekig kort uitstekeltjes 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer acht 
A: 	ja dit zijn dus weer die plateau die door aan de onderkant door het ding zijn met ook weer twee van die identiek balk 
B: 	ja 
B: 	ik hem hem 
B: 	dat zijn o 
B: 	dit zijn de vierkant schijf die door het kop heen gaan lijken wel een ballerina zo 
B: 	met aan de bovenkant twee identiek klein uitstekend ding en hij roken een pijp aan de linkerkant 
A: 	ja ik weten wat 
A: 	ja 
A: 	ja 
B: 	ja 
A: 	zestien 
B: 	een roken ballerina 
A: 	roken ballerina 
A: 	weer die plaat die aan de onderkant doorheen zijn gaan 
A: 	niet op de onderkant maar daar vrij onderaan met die twee steelt 
B: 	ja ja pijp 
B: 	ja 
A: 	de de dansen ballerina die 
B: 	de dansen 
