A: 	one's dit figuurt hebben een soort 
A: 	satelliet aan de bovenkant zo noemen ik het het zijn een een ruit met daaruit aan beide kant uitsteeksel 
B: 	ja 
A: 	en aan de onderkant hebben die een een slurf 
B: 	ja 
A: 	en aan de voorkant hebben die ook nog twee uitsteeksel die eigenlijk zo vooruitgaan 
B: 	ja 
B: 	ik weten al welk het zijn het zijn M 
B: 	dit zijn one's ja dit zijn het kop en dan daarboven zitten zo'n gedraaide 
B: 	vierkant waar dan weer zo'n vierkant erdoorheen komen 
B: 	en daar onderin komen er komen zo'n staart uit 
A: 	zijn dat die die ik net satelliet noemen 
B: 	satelliet dat zijn het 
A: 	oké 
B: 	ja 
A: 	nummer negen 
A: 	en dit zijn die met de satelliet aan de bovenkant en de onderkant dat staart 
B: 	ja 
B: 	even kijken 
B: 	waar staan die 
A: 	lastig 
B: 	daar ja H 
A: 	moeten je de heel tijd zoeken 
B: 	ja 
A: 	ja jou beurt 
B: 	ja dit zijn het kop waar aan de onderkant wat uit komen en aan de bovenkant zitten een satelliet 
A: 	de ja elf 
A: 	dit zijn dat poppe met de satelliet aan de bovenkant 
A: 	en aan de onderkant het uitsteeksel 
B: 	ja 
B: 	dat zijn D 
B: 	satelliet en het dinge aan de onderkant 
A: 	nummer veertien 
