A: 	oké dit zijn degeen met de piramide op zijn hoofd 
B: 	met dat punt zeggen maar ja 
A: 	ja zijn echt een punt gewoon 
B: 	ja 
B: 	ja we hebben er ook nog niet zoveel niet hebben dus dat moeten wel J zijn want ver hebben die allemaal van die raar uitsteeksel 
A: 	er zijn geen ander 
A: 	ja hebben een heel groot blok voor zich nog zeggen maar zo'n raar neus en staan op wielt soort van 
B: 	ja 
B: 	ja 
B: 	ja soort van ja 
A: 	ja 
B: 	ja dan zijn het J 
B: 	oké dit zijn die met dat met dat puntmuts zeggen maar 
B: 	met dat blok aan de zijkant en dat dat puntdak 
A: 	ah 
A: 	ja 
B: 	het piramidedinge 
A: 	op wielet en zo de piramide 
B: 	ja 
A: 	ja 
A: 	nummer zes 
A: 	zijn de Piramidekuif 
B: 	ja 
B: 	dat zijn bij mij E 
B: 	nu hebben ik met dat piramidehoofd 
A: 	ja 
A: 	op wielt 
B: 	ja op wielt 
A: 	oké 
A: 	nog eventjes controleren dan weten je wel 
B: 	tja 
B: 	want dat staan er wel 
A: 	dat zijn nummer tien 
B: 	ja 
A: 	de piramide 
A: 	op wiele 
B: 	ja 
B: 	dat zijn bij mij G 
B: 	ik hebben die met dat piramidehoed 
A: 	ja 
A: 	nummer tien 
