B: 	oké dit deze zijn uitzien er heel anders uit als de rest het zijn een soort langwerpig beker 
B: 	het zijn een beker en dan komen er een een dun steelt onder naar een plateau waar die dan op staat 
A: 	eigenlijk een soort van trofee 
B: 	ja precies 
A: 	ja 
B: 	ja dan hebben je hem al 
A: 	dat zijn 
A: 	ja dat zijn nummer vier dat zijn de enig eigenlijk die op een beetje op een trofee lijken toch 
B: 	ja 
A: 	ja dat zijn nummer vier 
A: 	dit zijn eigenlijk de trofee 
B: 	ja 
B: 	oké 
B: 	dat zijn A 
B: 	ja dan moeten ik 
B: 	de de trofeebeker 
A: 	ja die zijn het makkelijkst 
B: 	ja 
A: 	even kijken ja dat zijn nummer tien 
A: 	en dit zijn eigenlijk de trofee 
B: 	nice L 
B: 	oké de beker 
B: 	trofee 
A: 	ja dat zijn handig hè ? ja even kijken dat zijn nummer vier 
A: 	trofee 
B: 	ja zijn F 
