B: 	deze hebben aan de onderkant een soort van draaien staaf en hij staan op een driehoek 
A: 	ja 
B: 	en dan bovenop nog een vierkantje rechts een vierkant en nog een raar figuurt aan de linkerkant zeggen maar 
A: 	driehoekding 
A: 	ja 
A: 	ja dat zijn bij mij nummer drie 
A: 	deze staat op die draaien pilaar op de driehoek 
A: 	met de twee vierkant erbovenop 
B: 	ja 
A: 	en nog zo'n ander ding 
B: 	dat zijn bij mij à 
B: 	dit zijn de draaien staaf naar beneden met de driehoek aan de onderkant 
A: 	ja 
A: 	dat zijn elf 
A: 	dit zijn die op die draaien pilaar op de driehoek 
B: 	ja waar zijn die waar zijn die daar ja dat zijn f 
B: 	de draaien staaf naar de onderkant en de driehoek waar die op staat 
A: 	ja dat zijn vier 
A: 	dit zijn met die draaien stok op de driehoek 
B: 	ja dat zijn a 
