A: 	dit zijn er één met een bol op op zijn hoofd ik denken dat er maar één van zijn 
A: 	een staaf aan de kant waar wij van kijken 
A: 	en nog twee staven links en rechts 
B: 	ja zo'n bol ja ik zien hem dan zijn het o 
A: 	ja 
A: 	nee één en dan mogen jij drukken ja 
B: 	ja 
B: 	okee deze hebben weer een mooi bol op zijn hoofd 
B: 	en twee armp 
B: 	dun armpjes 
B: 	en een soort langwerpig staaf 
B: 	aan de voorkant van zijn hoofd 
A: 	aan de voorkant rechtsvoor 
B: 	ja 
A: 	ja 
A: 	okee 
A: 	zes 
A: 	deze hebben een bol op zijn hoofd 
A: 	twee of een staaf aan de voorkant rechtsvoor 
B: 	ja en twee ronde aan de zijkant 
A: 	ja 
B: 	dat zijn h 
B: 	deze hebben een staaf aan de voorkant een rond op zijn hoofd en twee armp 
B: 	twee dun armpjes 
A: 	hebben je acht 
A: 	bal op hoofd 
A: 	bol op hoofd 
B: 	ja 
A: 	volgens mij zijn er maar één 
B: 	ja dat zijn h 
B: 	rond op zijn hoofd armp staaf 
B: 	ik zullen zeggen sumoworstelaar 
A: 	maar zijn het een bol of een half 
B: 	ja het zijn een bol 
B: 	maar ja met de onderkant eraf 
A: 	als 
A: 	ja precies 
B: 	een soort knot op zijn hoofd 
A: 	sumoworstelaar twee 
