A: 	ok dit zijn eigenlijk dan ook weer zo'n kegel met een wat zijn het weer een prisma bovenop 
A: 	en ja aan de zijkant hebben hij twee uitstekel naar rechts toe en als je dan naar voorkant gaan kijken hebben hij ook een uitstekel naar richting de zijkant 
A: 	en onderin hebben hij dan 
B: 	en liggen liggen liggen er nog een soort los blok 
A: 	ja onderop zeggen maar liggen nog 
B: 	ja onderop dan een soort los blok en dan aan de rechterkant twee twee twee 
A: 	hebben hij twee staf naar 
B: 	plat plat dinget en dan bovenop een kegel die die afgezaagd zijn of zo lijken het wel ok dan zijn het I 
A: 	ja 
A: 	ja 
A: 	ja 
B: 	ja dit zijn ook dat ding met een soort kegel bovenop maar die zijn dan op een geven moment afgezagen dat het plat zijn 
A: 	ja 
B: 	aan de zijkant hebben je nog die twee balk en dan hebben je onderin nog een dinge en nog een soort ding dat uitsteken 
A: 	twee pinn 
A: 	ja 
A: 	ja 
A: 	dat zijn dan nummero twee 
A: 	ja dit zijn weer die ja die half afgezaagd kegel bovenop dat het veel een beetje naar een prisma achtig gebeuren zijn en dan twee vlak 
A: 	zijde aan de rechterkant en dan hebben je er onderin nog zo'n soort 
B: 	ik 
B: 	ik weten welk je bedoelen maar ik zijn hem even aan het zoeken ja die twee dinge nog aan de zijkant en dan een dinge onderop 
A: 	zijkant ja en dan er dan onderin nog één en één dan nog één aan de zijkant dan ja ja 
B: 	ja dat zijn M 
B: 	van mark 
B: 	dit zijn weer ja die piramide die afgezaagd zijn of zo en dan die twee plaat die er uitsteken en nog zo'n dinge onderop en dan nog iets aan de zijkant 
A: 	aan de zijkant helemaal ja 
A: 	ja 
A: 	dat zijn dan nummer negen 
A: 	ja dit zijn dan die afgezaagd kegel van bovenop met aan de zijkant twee plateaut en onderin hebben je nog een staart achtig iets en dan in midden ja 
B: 	ja 
B: 	dat zijn F 
B: 	ja dit zijn weer die afgezaagen 
B: 	piramide of kegel of weten ik veel wat de naam ervoor zijn en dan weer die twee plaat die hetzelfde zijn onder elkaar ja 
A: 	aan de zijkant en dan onderin ja 
A: 	ok dat zijn dan nummer zes 
