B: 	er zitten weer zo'n gek neusvorn aan de aan het kop iets veel naar de rechterkant 
B: 	en aan de linkerkant zitten een klein driehoek wat zeggen maar net uitsteken 
A: 	ja 
B: 	en dan aan de bovenkant ook een soort druppelvorm maar deze zijn iets veel 
A: 	ja veel een veel een kegelachtig link 
B: 	ja 
B: 	ja inderdaad 
A: 	en dan rechts nog een vierkant 
B: 	ja 
A: 	ja 
B: 	ja 
A: 	dat zijn zestien 
A: 	eens even kijken dit zijn de kopvorm links bovenin beetje die kegel 
A: 	met ja eigenlijk een beetje de neus de de rond vorm in het midden 
B: 	die ja ja 
B: 	met ding die op een neus lijken met wat erdoorheen 
A: 	nee niet de nee niet die niet de met dat ding erdoorheen 
B: 	okee 
A: 	maar die met de kegelvorm met een blok op het hoofd 
B: 	met die kegel die net een beetje 
B: 	okee met het driehoek wat aan de linkerkant eruit komen 
A: 	ja 
B: 	ja 
B: 	j 
B: 	deze hebben een soort van neus maar er zitten niks doorheen en met die kegelvorm die net 
A: 	ja aan de linkerkant en dan aan de echt aan de linkerkant zo'n driehoeksstaaf erin 
B: 	die 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	ja dat zijn acht 
A: 	dit zijn die met de neus met niks erdoorheen met die kegelvorm Linksboven 
B: 	ja 
B: 	en het driehoek 
A: 	ja 
B: 	h 
B: 	dit zijn degeen met het de kegelvorm de neus met niks erdoorheen 
B: 	klein driehoek aan de linkerkant 
A: 	heel even 
A: 	de kegelvorm aan de Linksboven 
B: 	ja ja ja 
A: 	ja 
A: 	zestien 
A: 	dit zijn die met de neus niks erdoorheen en de kegelvorm 
B: 	ja 
B: 	de kegel 
B: 	j 
