A: 	oké dit zijn een mok er zitten niks in de bovenkant 
A: 	er zitten wel een uitsteeksel 
A: 	een beetje een Bvormig uitsteeksel 
B: 	een Bvormig 
A: 	en daarop 
A: 	ja een beetje ja een beetje Bvormig 
A: 	twee golf 
A: 	en daarboven daarop zitten weer een een uitsteeksel in de vorm van een uitgerekte piramide 
A: 	een beetje uitgerekt zo 
A: 	en er zitten ook een een tafel aan de rechterkant 
B: 	ja 
B: 	ja 
B: 	dat zijn L 
B: 	jij noemen net een ding waar een soort tafel aan vasthing 
B: 	en er zitten een soort pion op een uitsteeksel 
A: 	een soort pion 
B: 	dus je hebben een 
A: 	ja zijn dit die met de Bvormig een tafel toch aan de aan de 
B: 	aan de linkerkant inderdaad bvormig 
A: 	ja 
B: 	en er nou aan de ander kant zijn het tafel en aan het uitsteeksel zitten een soort pionne 
A: 	uitgerekken 
A: 	ja een uitgerekt pionne ja ja oké 
A: 	dat zijn zeven 
B: 	ja 
A: 	zitten veel veel naar beneden 
B: 	gewoon makkelijk om gewoon centimeter te praten eigenlijk 
B: 	als dat lukken 
A: 	ik kunnen ik zijn echt ik kunnen echt niet inschatten hoeveel centimeter ik moeten gokken hier 
A: 	even kijken hoor beker 
A: 	tafel aan deze kant 
A: 	aan de rechterkant 
A: 	en het zijn een Bvorm aan de linkerkant en zo'n uitgerekte pion 
B: 	ja 
B: 	ja 
A: 	eraan vast 
B: 	letter C 
B: 	prima 
A: 	en jij zijn 
B: 	ja dat zijn dat dat Bvormig uitsteeksel 
B: 	waar een die pion uit komen die uitgerekken zijn 
B: 	en dat tafel eraan 
A: 	Bvormig pion die 
A: 	die ja 
B: 	Bvormig uit steeksel 
A: 	oké 
A: 	dit zijn het mok met het tafel en de Bvorm en de verlengen pion die daaraan vastziken 
A: 	uittrken 
B: 	oké ja 
B: 	dat zijn A 
A: 	ja 
B: 	klinken goed 
B: 	dit zijn die met het Bvormig uitsteeksel het tafel en dat pionne dat uit het uitseeksel komen 
A: 	ja die 
A: 	dat zijn dertien 
