B: 	ok nou dit zijn dus wel de kruiwag weten je dan welk ik bedoelen zeggen maar 
A: 	nn 
B: 	zeggen maar er zitten een bak op en er zitten zeggen maar zo'n ja rand omheen en aan die rand zitten twee van die balk 
A: 	ok 
A: 	zijn die okan ja dat zijn zestien 
A: 	dit zijn dat wat dat vierkant wat richting de bovenkant van het kop zitten en dan zitten er zo'n soort kuip bovenop 
A: 	en hebben twee poot zo naar beneden we hebben hem al hebben volgens mij 
B: 	o die kruiwag 
A: 	ja volgens mij zijn het de kruiwag 
B: 	okan ja ok dat zijn P 
B: 	okan ja dit zijn de kruiwag 
A: 	zijn met dat met die twee poo naar beneden 
B: 	ja en dat bak erop 
A: 	ja ok dat zijn veertien 
A: 	ja dit zijn de kruiwag 
B: 	dat zijn N 
B: 	de kruiwag 
A: 	ja zijn tien 
A: 	het zijn de kruiwag 
B: 	ja dat zijn D 
