B: 	ok deze hebben ik gewoon omschrijven als toren zijn by far de groot 
A: 	zijn dat met die die scheve ding zo aan de onderkant met die kunkelhoek 
B: 	met met een soort met een soort 
B: 	ja een soort kronkel aan de onderkant op een plateau verhogen 
A: 	jajaja nee dan weten ik het al ja 
A: 	ja 
A: 	ja vier 
A: 	ok dat zijn die met die met dat kronkel opzetstuk weten je wel met dat gedraaide lijken ook op beetje op een glas 
B: 	ok die heel hoog zitten 
A: 	die heel hoog lijken ook een beetje op een struisvogel of zo 
B: 	ja ik hebben die inderdaad hij hebben een beetje zo vleugel aan de achterkant een vierkantje rechts bovenop en een soort driehoekig platvorm waar hij op staat 
A: 	ja kloppen die 
B: 	ok A 
B: 	de struisvogel 
B: 	het heel hoog ding 
A: 	dat ding ja tien 
A: 	die die struisvogel Slash wijnglas of zo ja 
B: 	ja ok L 
B: 	struisvogel 
B: 	wijnglas 
A: 	even zoeken ik zien hem al ja vier 
A: 	die struisvogel Slash wijnglas of zo of ver kennen 
B: 	o ja F 
