A: 	oké bij mij hebben die twee USB aan de rechterkant voor ons eruit komen en een neus en een soort van omgedraaien boo op het op het hoofd 
B: 	rechterkant ja 
B: 	ja ja en een staart ook nog of zo ja ja 
A: 	ja ja ja 
A: 	negen 
B: 	I zijn dat bij mij 
B: 	I negen 
A: 	yes 
B: 	dit zijn de USBstick 
A: 	die twee USBsticken 
B: 	ja zo die neus 
A: 	oké en dan 
B: 	ja of die met dat poo op de of omgekeerd 
A: 	en dan staart onderin oké ja 
B: 	ja 
B: 	L 
A: 	L twee 
A: 	oké USBstick boot op het hoofd 
B: 	ja M 
A: 	vijf 
B: 	M vijf 
B: 	USBstick 
A: 	twee daarvan 
B: 	ja twee 
A: 	welk 
B: 	B 
A: 	B negen 
A: 	USBstick boot op het hoofd 
B: 	ja 
B: 	F 
A: 	elf 
B: 	F elf 
B: 	de twee USBsticks 
A: 	ja 
B: 	H 
A: 	H zes 
