B: 	oké deze hebben aan de voorkant een soort van dienblad liggen en op dat dienblad liggen dan een soort van schaal die 
B: 	zeggen maar allemaal van zulk zijkant hebben 
A: 	ja 
A: 	ik weten welk je bedoelen 
B: 	en dan linksboven hebben hij nog een klein armp of zo 
A: 	ja 
A: 	oké dat zijn nummer zestien 
A: 	ja dit zijn dat ding ja ik denken zo'n soort tafel met dat schuin bak erop en dan nog één zo'n 
B: 	Linksboven nog zo'n raar armp 
A: 	ja 
B: 	P zijn dat 
B: 	dit zijn die met dat dienblad vooraan met dat bak erop en linksboven dat armp 
A: 	ja 
A: 	even kijken waar die zijn 
A: 	ja 
A: 	nummer veertien 
A: 	dit zijn met dat tafel met dat schuin bak erop 
A: 	en dat arm nog links dat klein armp 
B: 	ja N 
B: 	dienblad met dat bak erop en het armp Linksboven 
A: 	ja nummer tien 
A: 	ja dat tafel met dat schuin bak erop en dat hand nog links 
B: 	ja D 
