B: 	deze vinden ik het het kut 
B: 	even kijken 
B: 	er liggen zeggen maar een balk op 
B: 	een langwerpig balk 
A: 	ja 
B: 	bovenop 
B: 	en 
A: 	zo'n zo'n zo'n kop of zo aan de zijkant of niet 
B: 	ja ja omgedraaid zeggen maar op zijn op de kop 
A: 	ja 
B: 	ja 
A: 	oké dan hebben ik die al 
A: 	wachten voor de zekerheid 
A: 	ook aan de zijkant hebben zeggen maar zo'n ja ik jij denken ik 
B: 	ja ik weten niet wat het 
B: 	ja dat lijken een beetje op een schep 
A: 	oké dan wel 
B: 	ja 
A: 	acht 
A: 	de dat balk boven en dan zo'n 
B: 	ja 
A: 	een vending machine 
A: 	dat ding 
B: 	E 
B: 	weer die balk en dan die die scoop hoe heten dat die die beker op de kop en die schep 
A: 	ja ja ja 
A: 	waar zijn die 
A: 	één 
A: 	de ja die een die jij lastig vinden 
A: 	met dat balk en dat schep 
A: 	en omgekeerde beker zeggen maar 
B: 	ja die 
B: 	waar staan die 
B: 	ja nou vinden ik hem heel makkelijk 
B: 	ah hier 
B: 	E 
B: 	weer die beker op de kop en die die schep erbij 
A: 	ja 
A: 	even kijken waar die zijn 
A: 	de ja de schep en dat omgedraaide beker en dat balk 
A: 	wat jij eerst moeilijk vinden 
B: 	ja 
B: 	O 
