B: 	aha nou ik ik krijgen nu het rood vierkantje te zien 
A: 	ja 
B: 	jij niet denken ik dan 
A: 	nee 
B: 	kijken zoals ik het zelf aanpakken hebben ik zijn ook wel benieuwd hoe jij dat doen hebben toen zijn dat ik heel erg let op een bepalen object wat er heel erg uitsteken 
A: 	ja 
B: 	en zo hebben ik ze bij de vorig test ook invullen 
B: 	waar letlen jij op op het moment dat je een object zien 
A: 	ja ook de uitsteeksel vooral en of dat ergens op lijken zodat je het een beetje een naam kunnen geven 
B: 	ja misschien ook toevallig dinge met gezicht enzo ? hebben je daar ook een beetje 
A: 	niet echt denken ik 
B: 	niet echt 
A: 	ja nou wel een beetje met uitsteeksel dat ik denken oog maar ja 
B: 	okee 
B: 	ja 
B: 	nou goed ik gaan deze gewoon proberen om om hem zo duidelijk mogelijk te beschrijven 
B: 	ik kijken ook vaak naar de plaat bijvoorbeeld te opzicht van de ander als er iets ander missen en dit hebben echt één significant ding 
A: 	ja precies ja 
B: 	goed deze die ik vinden het allemaal een beetje op koffiekop lijken deze ook staan op een nek 
A: 	ja 
B: 	en hebben voor mij zeggen maar aan de linkerkant een soort pinokkio-neus 
A: 	ah ja 
B: 	en en een soort schijf 
A: 	en soort van 
A: 	aan de achterkant 
B: 	ja 
A: 	ja beetje aan de linkerkant achter 
B: 	ja precies 
A: 	ja 
A: 	okee 
A: 	nou dan mogen ik op een knop drukken en het antwoord noemen toch 
B: 	ja 
A: 	okee 
A: 	ik gaan voor twee 
A: 	okee ik vinden het een beetje op een toiletpot lijken 
B: 	een toiletpot 
A: 	ja want die die hebben een hendel aan de zijkant zullen je kunnen doortrekken dat zijn aan de linkerkant 
A: 	nou dan een wcborstel erin beetje rechtsboven 
A: 	achter zien je een rond dat zijn dan het klepje 
A: 	en dan onderaan staan hij op een soort van standaard zeggen maar 
A: 	een beetje een één ja 
B: 	ik moeten deze nog even zien uitfiekelieren 
A: 	even zoeken 
B: 	ja ja ja 
A: 	ja 
A: 	die ja 
B: 	kunnen je hem nog een keer omschrijven 
A: 	okee nou de onderkant zijn dus zeggen maar een standaard 
A: 	dat eronder zitten 
A: 	het zijn een beetje een soort van USB-C vorm zeggen maar 
A: 	en dan aan de linkerkant ook een cilindervorm dat weer uitsteken uit het kop 
A: 	en aan de achterkant zitten een soort van rond schijf die je maar voor de helft zien 
B: 	ja 
A: 	en dan ja rechtsboven in het plaat een beetje die 
B: 	ja ik weten welk je bedoelen 
A: 	ja 
B: 	dan gaan ik voor f 
B: 	nou deze die staan op een USB-C poort 
A: 	ah die 
B: 	met een ja met een neus naar naar links en een schijf aan de achterkant 
A: 	ik weten hem al 
A: 	ja okee 
B: 	en een lepeltje 
A: 	ik gaan voor nummer drie 
A: 	nou dit zijn dat toilet weer 
A: 	op de USB-C vorm staan die 
B: 	ja 
A: 	nou schijf aan de achterkant 
A: 	link een cilindervormig uitsteeksel en de zeppelinachtig toiletborstel die utisteekt 
B: 	ja 
B: 	dat zijn voor mij f 
B: 	deze die hebben een USB-C poortje 
B: 	kunnen je hem al vinden 
A: 	zo nou wel in mijn hoofd 
A: 	waar staan die nou 
B: 	zijn die er nog 
A: 	ah ja vinden 
B: 	yes 
A: 	nummer vier 
A: 	toiletpoten klep aan de achterkant rond en USB-C vorm 
B: 	ja 
B: 	dat zijn f 
