B: 	ik hebben in principe de de mok maar dan lijken het alsof er een plank aan vast bevestigen zijn 
B: 	waar twee rechthoekig uitsteeksel onder alsof dat de voet van de plank zijn waarbij er een soortement trapeziumachtig iets bak erop 
B: 	lijken te liggen en aan de achterkant van de mok zijn er een soort omhoog uitstekend geval 
A: 	ja 
A: 	dat zijn hier nummer zestien 
A: 	ik hebben zeggen maar de koffiemok waar een plateau aan vastzitten bovenin met twee poot aan de onderkant en een bak erop 
A: 	en Linksboven opsteken nog zo'n soort antennetje uit 
B: 	ja dat zijn bij mij P 
A: 	oké 
B: 	ik hebben de basisvorm met daarbij een soort plank 
B: 	schuin daaronder twee balk en dan nog een soort bak erop 
B: 	en een uitsteeksel Linksboven 
A: 	ja 
A: 	dat zijn nummer veertien hier 
A: 	dit zijn de mok waar een vierkant plateau bovenin aan vastzit met twee poot een bak erop en Linksboven een klein antenne 
B: 	even zien er zitten bovenop een als in van van 
A: 	ja in het bovenste deel zeggen maar je hebben nog een klein stuk van de rand van de mok over 
B: 	ja 
A: 	daar hangen zeggen maar zo'n vierkant plateau aan vast waar twee poot onderuit steken 
A: 	en op dat plateu staan een soort van bakje 
B: 	ja ah ja en dan links zitten er een soort uitstekend 
A: 	ja die 
B: 	ja dat zijn bij mij N 
A: 	ja 
B: 	ik hebben degeen met een balk voor de basisvorm met daarop een soort bak Linksboven een uitsteeksel en op de zeggen maar het balk 
B: 	wat voor zijn aanstaan er onder twee 
A: 	ja 
A: 	nummer tien 
A: 	dit zijn de beker met dat plateau wat er aan de bovenkant aan hangen met twee poo naar onder en een bak erop 
B: 	ja 
B: 	yes nummer of letter D 
