A: 	ja deze vinden ik echt een beetje chaos dit zijn zo'n ding met een raar ja soort ik vinden het echt dit vinden ik het naarst om te omschrijven 
B: 	pion 
A: 	ja hij hebben een soort soort ja hoed zeggen maar met dan twee driehoek of nou wel twee ruit zeggen maar en dan nog de twee uitsteeksel uit die ruit 
A: 	en hij hebben een soort neus als een Pinokkio 
A: 	en en twee soort van voe waarbij de een voe aan de onderkant zitten en één voe aan de zijkant 
B: 	wachten even 
A: 	met een soort van ja hoed als een soort twee ruit aan elkaar plakken met twee verrekijker eruit 
B: 	ja 
B: 	ja ja ja 
A: 	ja oké 
B: 	die hebben ik dat zijn M 
B: 	oké dit zijn de Poeh hebben een cilinder als wat jij zeggen Pinokkio die neus met onderaan zo'n 
B: 	slurfachtig rechts en dan bovenop zo'n twee van die rui 
A: 	ja die rui met een soort van verrekijker daar weer uit 
B: 	ja 
A: 	en één poo aan de onderkant en één poo aan de zijkant zeggen maar 
B: 	ja de poot ja ja 
A: 	ja 
A: 	ja dat zijn negen 
A: 	dat hebben ik ook 
A: 	dit zijn die gek met soort van een poo aan de onderkant en een poo aan de zijkant en die ruit met de verrekijker bovenop 
B: 	ja dat zijn H 
B: 	dit zijn de steel aan de voorkant met het poo onder pootje rechts en de rui 
A: 	ja dat zijn elf 
A: 	dit zijn weer die die ruit met de verrekijker en de pootje onder pootje aan de of aan ja aan de zijkant zeggen maar 
B: 	ja 
B: 	d 
B: 	dit zijn voe onder voetjeten rechts 
B: 	neus 
B: 	verrekijker met de ruit 
A: 	ja dat zijn veertien 
