B: 	deze hebben zeggen maar een driehoek er onder en er zitten zeggen maar een staaf aan en die zijn draaien 
A: 	ja vier 
B: 	dat zijn dan twee 
B: 	ja ok 
A: 	deze hebben twee blok van ja vierkant blok er op 
A: 	die zegmaar er half opliggen half er af en dan dus weer met dat draaien ding op een driehoek ja 
B: 	driehoek ja zijn A 
B: 	die draaien driehoek onderin 
B: 	een blok vallen er bijna af bovenaan 
A: 	tien 
A: 	dat driehoek met dat draaien staaf en dan die twee blok er op 
B: 	L 
B: 	met die draaien driehoek aan de onderkant blok wat er boven bijna af vallen 
A: 	vier 
A: 	dat driehoek met een schuin blok er op en dan die blok die er af vallen 
B: 	F 
