B: 	okee bovenop staan een soort van paddestoel 
B: 	kunnen je hem mee vergelijken 
B: 	en aan de linkerkant zijn twee dezelfde blok die steeds groot blok worden 
A: 	ja 
A: 	en voorop zitten een soort vierkant 
B: 	ja 
A: 	vijfteen 
A: 	deze hebben twee steeds bred worden uitsteeksel aan de linkerkant een plaat aan de voorkant en een soort antenne bovenop 
B: 	steeds bred worden uitsteeksel aan de linkerkant 
A: 	die vierkant steeds bred worden dinget 
B: 	ja 
A: 	een plaat aan de voorkant en een antenne bovenop 
B: 	ja ja ja ik zien hem p 
B: 	de paddestoel 
B: 	met de met de plaat ervoor 
B: 	en die twee groot worden blok aan de linkerkant 
A: 	ja 
A: 	dertien 
A: 	ik hebben die een met de antenne bovenop de paddestoel bovenop en de plaat aan de voorkant 
B: 	ja 
B: 	ja b 
B: 	ik hebben de de paddestoel de Antenne bovenop en het de plaat voorop 
A: 	ja vijfteen 
A: 	ik hebben de paddestoel aan de bovenkant en de plaat aan de voorkant 
B: 	ja 
B: 	a 
