A: 	ja deze vinden ik een beetje raar 
A: 	je hebben twee zo'n soort ja armp met zo'n twee rond erop aan de zijkant 
A: 	plat rond 
A: 	en dan hebben je daarachter nog zo'n vierkan met een ook weer een balk eraan 
A: 	en één armp zijn kort zeggen maar dan die ander 
A: 	en het zijn een soort ja even kijken ja gewoon weer die basis die je overal hebben en dan 
B: 	wachten 
B: 	er zitten links een kort armp en rechts iets lang 
A: 	ja 
B: 	ja dan weten ik het 
A: 	en dan dat vierkantje daarbovenop 
B: 	dan zijn het 
B: 	ja 
B: 	K 
A: 	die plaat 
B: 	K zijn dat bij mij 
B: 	hoe noemen jij dat ook alweer 
B: 	er zitten iets doorheen zeggen maar aan de linkerkant een klein stuk rechts iets groot 
B: 	aan de aan de achterkant zitten nog een soort van vierkantje 
A: 	ja 
A: 	nummer negen 
A: 	dit zijn dat ding met met die twee uitsteeksel aan de zijkant waarvan één lang zijn en de ander wat kort 
A: 	met dat vierkantje nog zo erachter 
A: 	met die twee rond zo aan het uiteinde 
A: 	dus eerst een balk en dan zo'n soort rond erop soort deurknop en dan daarachter dat vierkantje 
B: 	ik zijn hem even kwijt 
B: 	bij het waar hij er zeggen maar doorheen zitten door het 
A: 	ja ja waar die doorheen zitten ja 
B: 	ja dan zijn het F 
B: 	dit zijn met dat vierkantje achter en link dat stuk wat erdoorheen opsteken en rechts iets ver dat erdoorheen steken 
A: 	ja 
A: 	nummer drie 
A: 	dit zijn die ja dat ding dat door dat ding heen gaan met die twee rond aan de zijkant en dat vierkantje achter 
A: 	die balk die er zo doorheen gaan 
B: 	ja L 
B: 	dat ding wat erdoorheen zitten aan de linkerkant een klein stuk rechts iets groot en dat vierkantje aan de achterkant 
A: 	ja 
A: 	nummer vijf 
