A: 	ik denken dat jij het vierkant hebben 
B: 	ja 
A: 	ik willen zeggen ik hebben er geen 
B: 	oké 
B: 	oké het zijn een komme en daarachter zitten een cirkel aan vastgeplakt 
B: 	en dan een steel aan de zijkant en aan de bovenkant ook één 
A: 	een tuu 
A: 	ja ik hebben het omschrijven als een Pinokkio 
B: 	een tuu 
A: 	zien het er voor jou zo ook uit 
B: 	ja ja zeker 
A: 	ja 
B: 	ja 
A: 	ja dat zijn voor mij nummer dertien 
A: 	dus dan ja dan zeggen ik dertien en dan druk ik op geel 
A: 	dit zijn weer dat Pinokkiogezichtje 
A: 	dus met die lang neus rond schijf aan de zijkant achterin 
B: 	ja 
A: 	en dan nog een pluk omhoog 
B: 	dat zijn O 
B: 	dit zijn beetje die Pinokkio 
B: 	met dat rond achterop 
A: 	ja 
B: 	zeggen maar de die cirkel achterop 
A: 	die rond schijf ja 
B: 	ja 
A: 	en dan nog die dat pluk voorop 
A: 	dat zijn acht bij mij 
A: 	dit zijn Pinokkio 
A: 	dus met de rond schijf een beetje aan de achterkant 
A: 	tentakel omhoog en de 
B: 	ja 
B: 	dit zijn C 
B: 	dit zijn Pinokkio 
A: 	Pinokkio die zien ik ja 
A: 	dat zijn nummer zeven 
A: 	dit zijn de Pinokkio 
B: 	even ja dat zijn C 
