A: 	oké 
A: 	ik hebben nu een figuur met een soort van klein pluimp bovenop een beetje veel aan de linkerkant 
A: 	en aan de voorkant zitten een bol met een staaf erdoorheen en aan de rechterkant van die staaf zitten weer zo'n plat schijf ertegenaan drukken 
B: 	ja 
B: 	F zijn dat bij mij 
A: 	oké 
B: 	deze hebben een soort staart aan de bovenkant en aan de voorkant een bolle met de rechthoek erdoorheen en een schijf aan de rechterkant eraan 
A: 	ja 
A: 	dat zijn nummer vijf 
A: 	deze hebben dat soort van pluimpje een beetje link bovenaan en dan vooraan die bol plakken met die staaf erdoorheen en daar nog weer zo'n 
A: 	schijf op plakken aan de rechterkant 
B: 	ja 
B: 	dat zijn bij mij A 
B: 	deze zijn met het pluimp en de bol met de rechthoek erdoorheen en de schijf eraan 
A: 	even zoeken hoor 
A: 	ja 
A: 	ja dat zijn nummer vijf 
A: 	ik hebben nu die een met dat klein pluimp bovenaan en aan de voorkant die bol met de staaf erdoorheen en daar die schijf rechts op plakken 
B: 	ja 
B: 	dat zijn bij mij H 
B: 	dit zijn met dat staart en die bol met de rechthoek erdoorheen met de schijf eraan 
A: 	even zoeken 
A: 	ja 
A: 	dat zijn nummer vijftien 
