B: 	deze hebben eigenlijk ook zo'n soort neus één staaf opsteken er boven uit en één 
B: 	diamant met dan nog een soort vormp er aan zeggen maar net zoals met die neuspiercing zo'n bol aan de zijkant 
A: 	ja 
A: 	ja en dan hebben je één of rechthoek en nog Sies ja of ja ja zoiets daar 
B: 	ja en iets dat aan de zijkant dan nog er uit opsteken ja 
A: 	ja 
A: 	nummer veertien 
A: 	ja dit zijn eigenlijk ook weer zo'n met zo'n neus en dan eigenlijk met een recht rechthoekig blok omhoog en die diamant achtig gebeuren 
B: 	ik zitten hem even te zoeken hoor 
A: 	en met een staaf aan de zijkant 
B: 	ja die twee ding bovenop hebben en nog één aan de zijkant dat zijn dan N 
A: 	ja 
A: 	ja ja 
B: 	ja dit zijn weer niet die neus met de neuspiercing maar die neus waarbij die soort ruit met nog een dinge er aan en 
A: 	maar die ander 
A: 	ja 
A: 	die dat balk of zoiets 
B: 	ja dat balk en nog één aan de zijkant 
A: 	ja dat zijn dan nummer negen 
A: 	even kijken ja dit zijn die dan ja ook met met die neus zeggen maar maar niet niet doorboren maar dan hebben je er met zo'n rechthoek bovenop en die omgekeeren 
A: 	kegel en aan de zijkant steken 
B: 	ja 
B: 	ja dat zijn dan G 
B: 	dit zijn die ander niet die neuspiercing maar die ander met die neus en dan die kegel en die ding er nog bij 
A: 	ja ja ja 
A: 	zijn nummer vijf 
A: 	ja dit zijn die met met weer met de neus zeggen maar dat bobbel aan de voorkant en met zo'n blok omhoog en die omgekeerde kegel huppeldepup en dan iets aan de zijkant 
B: 	ja 
B: 	kegel ja ja 
B: 	dat zijn dan J 
