B: 	een rood 
A: 	oké 
B: 	oké ik hebben er één die hebben een soort van een soort van snijvlak door hem heen 
A: 	door hem heen 
B: 	ja 
A: 	ja dat zijn er maar één 
B: 	ja 
A: 	dat zijn nummer zes 
B: 	oké 
A: 	deze hebben weer beetje dat dat plateau zo er dwars doorheen in ja net iets onder het midden en een soor glijbaan 
B: 	ja 
B: 	ja glijbaan 
A: 	hebben we ding echt hetzelfde benoemen 
B: 	ja precies supergoed 
A: 	dat vinden ik echt mooi 
B: 	oké dat zijn C bij mij 
A: 	cool 
B: 	het zijn weer die gesneden worden door zo'n vierkant 
A: 	ja met het glijbaan 
B: 	met een glijbaan 
A: 	nummer dertien 
A: 	deze zijn weer dat vierkan die hem zo dwars doorsnijden met het glijbaan 
B: 	ja dwars doorheen 
B: 	yes dat zijn J bij mij 
A: 	ja 
B: 	weer die met dat vierkantje dat hem doorsnijden 
A: 	ja 
B: 	die erdoorheen gaan 
A: 	ja en het glijbaan nummer negen 
B: 	en de glijbaan 
B: 	yes 
B: 	oké 
A: 	deze zijn met het glijbaan en het plateau erdoorheen 
B: 	ja N bij mij 
