B: 	deze hebben een schuin langwerpig staaf aan de onderkant met een groot diehoek eraan 
A: 	ja 
B: 	volgens mij zijn dat er ook maar één 
A: 	en nog een driehoek twee driehoek bovenop en dan daar 
B: 	ja 
B: 	precies 
A: 	okee 
A: 	dat zijn negen 
A: 	deze staat zeggen maar op een statief 
A: 	met een soort verdraaien hals en een blok aan de rechterkant en een blok in het midden en een uitlopen vorm aan de linkerkant 
B: 	ja 
B: 	dan zijn het h 
B: 	deze staat op het statief 
A: 	ja 
B: 	met het draaien onderkant 
A: 	ja 
A: 	ja dat zijn acht 
A: 	dit staan op een statief met een gedraaide hals 
B: 	ja dat zijn e 
B: 	statief draaien 
A: 	statief wat 
B: 	statief en dan draaien 
A: 	ja 
B: 	met drie ding op zijn hoofd 
A: 	ja dertien 
A: 	wc nee niet wc 
B: 	ja ze lijken er allemaal wel een beetje op 
A: 	ja nu denken ik opeens dat zijn ook een wc 
A: 	draaien statief met gedraaide hals 
B: 	ja ja die lijken er inderdaad ook op 
B: 	o 
