A: 	one er zitten best wel een groot staaf doorheen met twee rond vlak aan de uiteinde 
A: 	gaan recht door het beker heen 
A: 	de een kant zijn kort en de een kant zijn lang 
B: 	staaf met rond vlak 
A: 	ja het zijn een beetje een rond rond vorm 
A: 	rond staaf met twee rond vlak daarnaast 
B: 	ja 
A: 	en als je daarnaar kijken zitten zijn één kant kort en één kant zijn lang 
A: 	en er komen ook een vierkant uit 
A: 	uit de bovenkant schuin 
B: 	er komen een vierkant uit de bovenkant 
A: 	schuin 
B: 	schuin 
A: 	maar het belangrijk zijn dus het Ronde gaan dwars door de achterkant van de beker heen het zijn een rond vormp 
B: 	ja 
A: 	met twee afgeron vak 
A: 	twee rond er aan de uiteinde ervan 
B: 	ja 
B: 	oké 
B: 	soort knobbelt 
A: 	ja twee knobbelt 
B: 	ja 
B: 	K 
B: 	het zijn weer die beker waar aan de achterkant een soort staaf doorheen gaan en die hebben die soort bollet aan de uiteinde 
A: 	ja 
A: 	ja dat zijn 
B: 	en dat vierkant erachter 
A: 	dat zijn negen 
A: 	weer met die twee bollet aan de uiteinde van de cilinder eigenlijk 
A: 	dus 
B: 	ja 
B: 	die stompe bollet 
A: 	ja die stompe bollet 
B: 	ja 
B: 	oké 
A: 	en hij 
B: 	en die vierkant erachter 
A: 	ja 
A: 	ja en het zijn letter 
B: 	ja danken je wel 
B: 	letter F laugh 
A: 	ja 
A: 	ja 
B: 	dit zijn het kop waar die balk achterlangs gaan met die twee knobbel eraan 
A: 	ah die 
A: 	even kijken waar zien ik die 
A: 	dat zijn drie 
A: 	oké 
B: 	maar het gaan wel om de positie van hetgene wat wij moeten omschrijven en niet per se dat alles eromheen 
A: 	het mokje zelf 
A: 	eromheen ja oké 
A: 	maar hij staan bij mij staan die niet goed horen 
B: 	oké 
A: 	en ander anders zijn het fout nou ja ja gewoon de balk die erdoorheen gaan met de twee knop bollet eraan 
B: 	ja 
B: 	oké dat zijn L 
A: 	ja 
B: 	dit zijn die met de staaf erdoor met de twee knobbel 
A: 	ja 
A: 	oké even kijken hoor 
B: 	we zijn best goed aan het worden denken ik 
A: 	nou eindelijk hoelang duren het nu al 
A: 	ja dat zijn vijf 
B: 	we kunnen alles in ieder geval snel omschrijven nu 
A: 	ja 
