A: 	dit plaat zijn eigenlijk een soort van gieter moeten ik eigenlijk aan denken 
A: 	hij hebben aan beide kant langwerpig uitsteeksel aan de rechterkant iets lang dan aan de linkerkant 
A: 	en dan aan de bovenkant zitten er nog een soort van schuin dak met een ja een poo naar beneden wat er eigenlijk als een soort van handvat 
B: 	poo naar beneden 
B: 	ja 
A: 	zullen kunnen zien 
B: 	die uitsteeksel die eindigen in een soort bollet 
A: 	ja 
B: 	oké het zijn K 
B: 	oké dit zijn weer wat jij op gieter vinden lijken 
B: 	met die bollet aan de zijkant 
A: 	ja nummer negen 
A: 	dit zijn de gieter 
B: 	de gieter 
B: 	ja F 
B: 	dit zijn de gieter 
A: 	ja nummer drie 
A: 	de gieter 
B: 	L 
B: 	dit zijn de gieter 
A: 	nummer vijf 
