B: 	ik hebben er nou één met one's ja je hebben een 
B: 	bovenop hebben je een soort van kubus liggen 
B: 	en dan hebben je aan de zijkant ja hoe leg je dat nou uit 
B: 	er opsteken zeggen maar ook een een driehoek uit en daarbovenop zitten dan nog ook een dun staaf en dan hebben je ook aan de zijkant ook nog twee 
A: 	zijn dat die soort balk of zo die erop liggen 
B: 	ja 
B: 	een balk erop inderdaad en dan aan de zijkant hebben je nog twee ja het lijken een beetje op vleugelt of zo 
A: 	ja 
A: 	oké en die bovenop zijn echt een liggen liggen balk 
B: 	dat zijn gewoon 
B: 	inderdaad een liggen balk ja 
A: 	oké ja dan zijn het bij mij nummer acht 
A: 	ja deze zijn met die balk erboven zeggen maar 
A: 	en dat dinge met zo'n klein staaf erop 
B: 	even kijken 
B: 	ja 
A: 	en aan de ander kant zitten ja jij noemen het vleugelt 
B: 	en dan nog die twee vleugelt soort van 
A: 	ja 
B: 	inderdaad ja 
B: 	dat zijn E bij mij 
B: 	nou hebben we weer die een met die balk erbovenop zeggen maar en dan die twee vleugelt en weer dat 
A: 	ja 
A: 	dat zijn bij mij nummer één 
A: 	ja ik hebben nu die een met die balk erop en die vleugel aan de zijkant 
B: 	ja even zoeken 
A: 	staan bij mij een beetje links 
B: 	ja 
B: 	dat zijn bij mij E 
B: 	weer met die balk die erbovenop liggen zeggen maar met die twee vleugelt en dat uitstekend 
A: 	ja ik denken ik kijken even waar jij naartoe kijken 
A: 	daar zo daaronder 
A: 	nummer zestien 
A: 	staan bij mij linksonder met zo'n balk Erboven en die vleugel 
B: 	even zoeken 
A: 	deze staan wel ongeveer op dezelfde plek 
B: 	ja bij mij zijn die zijn dat O 
