A: 	weer de hoofdbak ja en dan hebben je een soort kwast dat zijn dus eigenlijk twee kwast één staan op de hoofdbak en één steken linksvoor uit 
A: 	en dan zien je ook nog heel klein stuk van linksachter 
A: 	en aan de rechterkant van die hoofdbak zitten een een figuur dat eigenlijk vierkant zijn en dan steeds klein worden 
A: 	en het klein vierkantje zitten aan de hoofdbak vast 
B: 	okee zitten er iets aan de bovenkant 
A: 	ja een soort kwast 
B: 	ja en aan de linkerkant en achterkant ook 
A: 	ja ja 
B: 	okee dan hebben ik hem 
B: 	dat zijn j 
B: 	je hebben weer de hoofdvorm 
B: 	daarboven staan een soort van zo'n kegel op zijn kop 
B: 	aan de zijkant ook 
B: 	en aan de linkerkant 
B: 	aan de rechterkant hebben je van die vierkant die telkens klein worden 
A: 	ja 
A: 	ja dat zijn nummer zeven 
B: 	wachten 
B: 	ik halen rechts en links door elkaar maar 
A: 	dit zijn de hoofdvorm met twee kegel één erbovenop één linksvoor je uitzien ook nog een soort van armp linksachter 
A: 	en aan de rechterkant hebben je vierkant die zo in elkaar lopen 
B: 	ja 
B: 	dit zijn de hoofdvorm dat aan de rechterkant de vierkant klein worden als uitsteeksel 
B: 	en aan de linkerkant staan er een pyramide schuin achter komen er een pyramide in in de hoofdvorm en bovenop zijn ook een pyramide 
A: 	ja 
A: 	zes 
A: 	dit zijn de hoofdvorm met aan de rechterkant die vierkant die zo ineen lopen 
A: 	en je hebben twee kegel 
B: 	ja 
A: 	ja 
B: 	f 
B: 	dit zijn de hoofdvorm dat er een vierkant dat bovenop en links en achter van die kegel staan op zijn kop 
B: 	en dat er één ja die vierkant die daar zo ineen rechts in die hoofdvorm aan vastgeplakt zitten 
A: 	ja nummer elf 
