B: 	het lijken alsof er Linksbovenin een spijker erin zijn slaan 
B: 	en er zitten twee blokkentorens in aan de zijkant aan de linkerkant ook 
B: 	en aan de rechterkant zitten er een soort van vierkant 
B: 	voorop plakken 
A: 	okee ja dat zijn tien 
A: 	even kijken dit zijn de kopvorm met de spijker er bovenin inslaan 
B: 	met het vierkant aan de voorkant 
A: 	het vierkant aan de voorkant en de twee blokkentorens link 
B: 	ja c 
B: 	dit zijn degeen met twee blokkentoren aan de linkerkant erin 
B: 	en dan bovenin een soort spijker 
B: 	en een soort vierkant 
A: 	ja 
A: 	vierkant aan de voorkant 
A: 	dat zijn vijf 
A: 	even kijken die met de spijker Erbovenin en de twee blokkentoren aan de linkerkant 
B: 	ja en met het vierkantje voorop 
A: 	ja 
B: 	ja o 
B: 	dit zijn degeen met een spijker Erbovenin en dan twee blokkentoren aan de linkerkant 
A: 	aan de 
A: 	en dan het vierkantje ervoor 
A: 	dat zijn twee 
B: 	yes 
A: 	dit zijn die met de spijker Erbovenin en de twee blokkentorens 
B: 	yes met het vierkantje 
A: 	link 
A: 	yes 
B: 	k 
