A: 	okee 
A: 	nu zijn het ook een soort van ja ook weer een soort van pionne of een weer een soort van steel aan de appel alleen dan echt in het midden van het beker en echt wel een groot 
A: 	en dat steelt zitten ook precies aan de linkerkant 
B: 	ja dat het een soort van twee knuppelt lijken en aan de rechterkant zitten er zo'n vierkant blok 
A: 	ja 
A: 	ja 
A: 	ja 
B: 	okee dat zijn f 
A: 	dat zijn hem 
B: 	deze hebben aan de bovenkant en aan de linkerkant dat knuppeltje 
B: 	en aan de rechterkant een uitsteeksel met kubus die steeds klein worden 
B: 	en aan de linkerkant hebben hij ook een uitsteeksel 
B: 	maar dat zijn een ander uitstekel dat ook dan aan dat dat aan de bovenkant zitten 
B: 	je hebben aan de bovenkant een soort van knuppel en aan de linkerkant het knuppeltje 
A: 	ik zien hem 
A: 	ja 
A: 	ja precies 
A: 	dat zijn nummer dertien 
A: 	dit zijn ook dat van die kubus van klein naar groot alleen zitten dat rechts 
A: 	en bovenaan en link zitten ook zitten ook twee dezelfde ja 
B: 	ja dezelfde knuppelt en dan aan de linkerkant 
A: 	knuppelt ja 
A: 	ja 
B: 	okee dat zijn b 
B: 	dit zijn de twee knuppel weer aan de bovenkant en aan de linkerkant en aan de rechterkant een kubus die van groot naar klein gaan 
A: 	waar zijn die 
B: 	en hij hebben ook nog een vier uitseeksel aan de linkerkant maar dat zijn lastig te omschrijven 
A: 	ja 
A: 	dat zijn dertien 
A: 	het kegel aan de bovenkant wat hetzelfde aan de rechterkant zitten 
A: 	aan de linkerkant sorry dus bovenaan en links zitten 
B: 	ja 
A: 	ja 
B: 	ja ja 
B: 	dat zijn o 
B: 	knuppeltje boven en aan de linkerkant 
B: 	en 
A: 	ja ja waar zijn die 
B: 	ja die aan de rechterkant die kubus 
A: 	ja 
A: 	dat zijn nummer een 
