A: 	het kop aan beide kant hebben je een soort staaf aan maar dat stoppen met een bolle of één ja niet een helemaal rond bolle , maar aan beide kant , aan de een kant rechterkant zijn groot of 
B: 	ja 
A: 	hebben je hem 
B: 	ja 
B: 	dat zijn B 
A: 	ja aan de bovenkant zitten een soort vierkant verstoppen 
B: 	ja 
B: 	nu krijgen we weer dezelfde ze staan een beetje in de war 
A: 	ja snapen ik 
A: 	ja 
B: 	twee van die paal die uitsteken de een zijn lang dan de ander en er zitten van die rond aan 
A: 	oké en zijn daar achter zitten ook een soort vierkantje verstoppen 
B: 	ja 
A: 	oké 
A: 	nummer zes 
A: 	oké deze hebben aan beide kant iets uitsteken , aan de rechterkant zijn hij iets lang dan aan de linkerkant en er zijn een soort plat bollet 
B: 	ja dat zijn N 
B: 	oké deze deze hebben weer twee paal aan de zijkant met rond eraan 
A: 	met die plat rond en die een die iets groot zijn dan die ander 
B: 	ja 
A: 	oké nummer acht 
A: 	deze hebben aan beide kant een uitstulpsel , de een kant zijn iets groot dan de ander kant en dan een soort plat bolle erop 
B: 	dat zijn C 
B: 	de twee paal met de plat cirkel 
A: 	even kijken 
A: 	die aan de buitenkant steken bedoelen je 
B: 	ja 
A: 	met die uh , nummer tien 
