B: 	dit zijn die met die vierkant plaat aan de voorkant plakken 
B: 	en dan links zitten twee van die soort schroef die met die vierkantjes die steeds groot worden 
A: 	ja 
A: 	en daarbovenop zo'n schoorsteen 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer twee 
A: 	dit zijn die dat beker met vierkantje erop plakken 
A: 	aan de linkerkant die vierkant die steeds groot worden en het schoorsteen 
B: 	ja 
B: 	dat zijn G 
B: 	dit zijn weer dat ding met dat vierkant aan de voorkant 
B: 	en dan dat paddenstoele en die twee schroef link die met die vierkant die steeds 
A: 	ja dat zijn nummer negen 
A: 	schoorsteen vierkantje aan de voorkant de vierkant die steeds groot worden aan de linkerkant 
A: 	en hij staan bij mij echt praktisch in het midden iets linksboven van het midden 
B: 	wachten ik doen eerst dat zijn D 
A: 	ja 
B: 	dit zijn die weer met het schoorsteen met de vierkant aan de voorkant 
A: 	en de 
B: 	twee schroef link 
A: 	die steeds groot worden 
B: 	ja 
A: 	nummer één 
A: 	het schoorsteen vierkantje erop en de twee groot worden vierkant 
B: 	ja 
B: 	dat zijn B 
