A: 	oké nu hebben ik het rood vierkant 
B: 	ja 
A: 	ik hebben even kijken bovenaan zijn het vrijwel leeg er staan alleen aan de aan de linkerkant staan een soort van 
A: 	klein cirkelt bovenop een soort van uitstekel uitsteeksel en aan de rechterkant 
A: 	ja beetje lastig uit te uitleggen maar een cirkel met een soort staaf erdoorheen en daar aan het einde ook weer een rond 
B: 	ja het zijn een soort ei waar dan zo'n ding doorheen opsteken 
A: 	ja 
A: 	kloppen 
B: 	ja 
B: 	oké dat zijn F 
B: 	dit zijn die een met het ei met de stok erdoorheen 
A: 	ja zijn bij mij nummer vijf 
A: 	ik hebben die met dat ei en met de staaf erdoorheen 
B: 	waar zijn die 
B: 	daar 
B: 	dat zijn A 
B: 	dit zijn die met het ei met een stok erdoorheen 
A: 	nummer vijf 
A: 	ik hebben die een met dat ei en met de staaf erdoorheen 
B: 	oké dat zijn H 
B: 	ik hebben die een met het ei met het balk erdoor doorheen 
A: 	nummer vijftien 
