B: 	dan hebben je weer de hoofdvorm en de hoofdvorm die staan eigenlijk op een schuin staaf met daaronder een soort van ja pyramidevorm lijken wel een beetje op een taartvorm 
B: 	schuin staaf daarop staan de hoofdvorm 
B: 	en daar bovenop staan een klein vierkant of rechthoek en aan de zijkant ook een rechthoek 
B: 	en aan de zijkant ook een rechthoek en aan dat zijn de rechterkant en aan de linkerkant een pyramidevorm weer met zo schuin 
A: 	ja 
B: 	met zo schuin 
A: 	dat zijn nummer twee 
A: 	ik weten wel welk je bedoelen 
B: 	okee 
A: 	hier hebben je weer de hoofdvorm die staan op een soort ronddraaien staaf en dat ronddraaien staafje die staan weer op een driehoek een soort taartpuntje 
B: 	ja 
A: 	en dan hebben je twee vierkant bovenop 
B: 	c 
B: 	dit zijn de hoofdvorm dat de hoofdvorm laten maar zeggen op een soort van taartpunt staan 
B: 	met een schuin ja met een cirkeldraaiig 
A: 	ja 
A: 	nummer vijfteen 
A: 	hier hebben je weer dat dat hoofdvorm dat op een soort ronddraaiend figuur staan op die pizzapunt of die taartpunt 
B: 	ja 
B: 	a 
A: 	en nog een uitsteeksel 
B: 	dit zijn de hoofdvorm waarbij dus het plateau op een soort van taartpunt staan 
B: 	met een schuin verbinding 
A: 	ja nummer twaalf 
A: 	dit zijn het pizzapun of het taartpun 
B: 	okee 
B: 	g 
