A: 	dit vinden ik zelf een beetje een apart ik hebben het idee dat er een soort van toffeesnoepje snoepjespapier op zijn 
B: 	ja ik denken dat ik weten wat je bedoelen 
A: 	op zijn hoofd zitten en dan zitten er een soort van Staafneus die eruit komen aan de onderkant zitten er een soort van ja wat zijn dat ? een soort van ding wat eruit komen ja 
B: 	twee 
B: 	nee toch niet 
A: 	een een een haak of zo of iets 
A: 	maar laten we eerst met de bovenkant beginnen de bovenkant zijn dus zijn dus twee van die vierkant die zo tegen elkaar aan zitten waar dan een soort van snoeppapierwrapping uit komen 
B: 	twee vierkant 
A: 	zo zien ik het een beetje 
B: 	ja 
B: 	ja 
A: 	snapan je wat ik daarmee bedoelen te zeggen een soort toffee 
B: 	ja 
B: 	ik ik vinden het op een soort zeepaard lijken 
B: 	dit zijn omdat hij aan de onderkant zo'n dinge hebben 
A: 	ja ja maar hij hebben aan de maar dat doorgaan naar voren toe 
B: 	want die zeepaardjes zijn ook altijd zo 
B: 	ja 
A: 	ja en dan hebben die zo'n soort van staaf naar voren toe 
B: 	en dan twee van die 
A: 	en dan aan de linker of aan de rechterkant hebben die zo'n soort van arm of iets 
B: 	dat zijn dan nog zo'n 
B: 	ja 
B: 	ja 
A: 	ja en aan de bovenkant zitten dus dat soort van snoeppapier 
B: 	ja 
B: 	ja 
A: 	het zijn een beetje alsof je trekken en dan trek je hem zo uit elkaar 
B: 	ja 
B: 	ja 
B: 	ik snapen hem 
B: 	dat zijn M 
B: 	dit zijn die een met zo'n met die toffee dus dat die bij die bovenkant die ding steeds groot worden 
A: 	ja ja ja ik weten hem ik weten hem 
A: 	dat zijn nummer negen 
A: 	dit zijn die een met die snoep wrap met die toffee aan de bovenkant 
B: 	ja 
B: 	en met dat onder zo'n zo'n ja 
A: 	ja met daaronder zo'n raar uitstulpinkje 
B: 	die dat zijn H 
B: 	dit zijn die toffee met zo'n vier puntig hoofd en dan van die vierkant die groot worden 
A: 	ja ik zien hem 
A: 	toffee zijn nummer elf 
A: 	die een met die toffee op zijn hoofd 
B: 	ja 
B: 	dat zijn D 
B: 	dit zijn die toffee 
A: 	ja nummer twee 
