A: 	deze hebben zo'n groot kegel bovenop 
A: 	en nog zo'n groot kegel beetje linksvoor 
A: 	scheef linksvoor 
A: 	en dan ook nog rechtsvoor scheef een beetje zo'n zo'n vierkant wat zo zo'n blok wat zo afloopt 
B: 	een blok 
B: 	okee ja ja dus dus de blok het zijn uiteindelijk eigenlijk vrij vrij groot vrij groot blok zijn het 
A: 	ja 
B: 	okee ja 
A: 	en dan twee groot kegel één bovenop en één link 
B: 	en dan zitten er nog iets aan de achterkant 
A: 	ja zo'n 
B: 	een een soort buis 
A: 	zo'n buis ja die zo krom gaan 
B: 	ja okee dan zijn het c 
A: 	ja 
B: 	deze hebben dezelfde soort zelfde kegel als die we net omschrijven 
A: 	ja 
B: 	hebben die alleen dan wat groot recht in het midden 
B: 	aan de zijkant een wat aflopen blok zoals je hem net omschrijven 
A: 	ja 
B: 	kunnen je nog herinneren 
A: 	ja 
B: 	okee en en 
A: 	en dan ook nog één zo'n groot aan de bovenkant 
B: 	ja en aan de voorkant 
A: 	ja 
B: 	ja en aan de zijkant zo'n zo'n 
A: 	en dan linksachter zitten zo'n kromm cilinder 
B: 	ja zo'n 
B: 	ja 
A: 	ja dat zijn een 
B: 	ja 
A: 	deze zijn met die groot kegel bovenop en ook die dezelfde groot kegel die daar linksvoor uitsteken 
A: 	en dan rechts zo'n zo'n rechthoek die steeds aflooppen 
B: 	ja ja ja ja en aan de achterkant die kromme die buis 
A: 	ja die kromme buis 
B: 	ja dat zijn d 
B: 	dit zijn met dat aflopen blok aan de zijkan 
B: 	rechterzijkant 
B: 	en een kegel bovenop 
A: 	ja en dan kegel linksvoor 
B: 	ja en dan die komma 
A: 	dat zijn een 
B: 	ja 
A: 	een 
B: 	ja 
A: 	acht 
A: 	ja ik sorry 
B: 	ja maken niet uit 
A: 	dit zijn met die groot kegel aan de bovenkant en een ander groot kegel linksvoor en dan zo'n aflopen rechthoek rechts 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn e 
B: 	even deze hebben die kegel bovenop en aan de zijkant dat aflopen vierkant 
B: 	aan de linkerkant ook een 
A: 	ja vier 
B: 	ja okee 
