A: 	oké mijne hebben ja dat ei aan de voorkant en daar zitten dan die 
A: 	staaf doorheen en al op die staaf zitten een rond 
B: 	ja hebben ja dat zijn dat zijn F 
B: 	deze zitten in de emmer zitten één ja een soort wat zijn het ? dinge dat dat dat dat ei met die staaf erdoorheen 
B: 	makkelijk 
A: 	de ei met de staaf erdoorheen en aan de op die einde van die staaf weer dat rond 
B: 	ja 
B: 	en dat 
B: 	ja 
A: 	dat zijn vijf 
A: 	ja dit zijn weer die dat ei met die staaf erdoorheen en op dat uiteinde van die staaf 
B: 	ei zijn het ja die staan bij mij op A 
B: 	ik hebben de dat ei met die staaf erdoorheen 
B: 	de bal met de staaf 
B: 	hoe gaan we het noemen 
A: 	wachten even kijken waar staan die 
A: 	ja en op het uiteinde 
B: 	yes 
A: 	yes 
A: 	dat zijn vijf 
A: 	ja dit zijn dat ei met die staaf erdoorheen en dan 
B: 	ja 
B: 	dat zijn H 
B: 	zijn dat zo ? zeggen ik dat goed ? ja H 
A: 	ja 
B: 	dit zijn de de bal met de staaf 
B: 	erdoorheen 
A: 	de bal bal met de 
B: 	en het rond 
A: 	die bal met die staaf en dat rond aan de zijkant 
B: 	yes 
A: 	ja vijftien 
