B: 	goed de volgen zijn een een koffiekopje weer met een ja ik zien het een beetje als een een plank die je ook aan de muur zullen kunnen hangen 
B: 	en daar staan dan een een soort schaalt op 
B: 	er zitten voor het koffiekopje zien je een een soort houten stelsel 
B: 	met twee poot eraan 
B: 	en daar staan een bak op 
B: 	en aan het koffiekopje vast zitten een klein uitsteeksel 
B: 	aan de linkerkant 
B: 	het zijn best wel een groot gestelte wat ervoor zitten 
B: 	ja waarschijnlijk zien jij het niet als een plank 
A: 	hebben die een soort een soort piramideachtig op de bovenkant 
B: 	ja maar dan omgedraaien 
B: 	het zijn een een soort schaal een een vierkant schaalt wat dan een beetje naar elkaar toe lopen 
A: 	dus de 
B: 	waar je ook je ontbijt misschien in eten 
A: 	een soort dienblad 
B: 	ja een dienblad kunnen je het wel zien 
A: 	dienblad met twee schuin poot eronder 
B: 	ja 
A: 	oké en dan staan daar nog een soort bakblik op 
B: 	ja een soort bak erop 
A: 	ja en aan de achterkant een soort haak omhoog 
B: 	een een klein haak 
A: 	oké ja 
B: 	ja 
A: 	dat zijn nummer zestien 
B: 	oké 
A: 	het vierkant dienblad met de poot en de bakblik erop 
B: 	vierkant dienblad met poot en het bakblik erop 
B: 	waar hebben we die ook alweer 
A: 	en dienblad staan vrij hoog aan het koffiekopje 
B: 	ja ik weten welk je bedoelen maar ja ja 
B: 	en daar nee wachten 
B: 	ja 
B: 	met die twee poot eraan vast 
A: 	ja 
B: 	en zo'n klein uitsteeksel aan de linkerkant 
A: 	haak aan de achterkant 
A: 	ja 
B: 	ja 
B: 	dat zijn letter P 
B: 	ja dit zijn dat dat koffiekopje met een een schap ervoor met twee poot en een bak erop 
A: 	dienblad 
B: 	ja 
A: 	ja 
A: 	nummer veertien 
A: 	dienblad 
A: 	aan de bovenkant met twee poot met het bakblik erop 
B: 	ja 
B: 	dat zijn letter N 
B: 	de schap het dienblad voor het koffiekopje met een een schaalt erop 
A: 	wat wat voor dienblad ? sorry 
B: 	zijn met die poo eraan 
A: 	het Ronde 
B: 	en er staan zo'n schaalt op 
A: 	een een bakblik 
B: 	met dat bakblik wat jij zeggen ja 
A: 	ja 
A: 	dienblad bakblik 
B: 	ja 
A: 	nummer tien 
A: 	koffiekopje met hoog dienblad met poo 
A: 	bakblik erop 
B: 	ja bakblik erop 
B: 	letter D 
