A: 	jij zijn 
B: 	oké het zijn een komme en er zitten een plaat doorheen 
B: 	er zijn er maar één die dat hebben 
A: 	ja 
A: 	ik zien het ja 
A: 	oké 
B: 	H roepen 
A: 	dwars doorheen toch 
B: 	ja 
A: 	ja 
B: 	je moeten dan eerst H roepen en dan en dan op de dan op de knop drukken 
A: 	ja 
A: 	shit 
A: 	oké 
A: 	oké dus er komen bij deze een slurf uit en er gaan een rechthoek nee vierkant er dwars doorheen 
A: 	en er zitten twee cirkelvormig punt op 
B: 	twee cirkelvormig punt op 
A: 	ja ik weten niet hoe noemen je dat ? cilinder zitten twee cilinder op 
A: 	twee cilinder op en er voortkomen één cilinder uit met een slurf van een olifant 
B: 	ja en er gaan ook een plaat doorheen 
A: 	ja gaan ook een plaat doorheen 
B: 	ja 
B: 	dat zijn nummer C 
B: 	one er gaan een plaat dwars doorheen 
A: 	oké welk zijn dat ? daar hebben ik maar één van 
A: 	waar zijn die ? zijn het zijn het met de slurf 
B: 	en hij 
B: 	ja 
A: 	oké 
A: 	dat zijn dertien 
A: 	zijn wel goed 
A: 	en zo'n slurf er zitten een slurf aan de voorkant 
A: 	en daar gaan een plaat doorheen 
B: 	oké dat zijn J 
A: 	en 
B: 	even kijken het zijn die met de slurf waar de plaat doorheen gaan 
A: 	de slurf waar de plaat doorheen gaan waar zijn de slurf ? slurf slurf 
A: 	ah ik zien hem 
A: 	dat zijn negen 
A: 	slurf aan de voorkant gaan een plaat doorheen 
B: 	ja 
B: 	dat zijn N 
