A: 	ja er steken weer een leeg balonnetje uiit 
A: 	en je hebben een lang vierkant staaf zeggen maar 
A: 	en door de vierkant staaf zitten een bolle en aan het eind van de vierkant staaf zitten een rond 
B: 	ja aan de voorzijde allebei dat bolle en die staaf 
A: 	ja ja ja 
B: 	okan dan zijn het F 
B: 	deze hebben zegmaar zo'n ballonne uitstekend aan de bovenkant aan de voorkant zitten een bol die doorboren zijn met een staaf 
A: 	ja met dat rond en dat cirkel 
B: 	met zo'n rond aan de rechterkant ja 
A: 	ja vijf 
A: 	die dat met ballonne er in één en dan aan de voorkant die staaf met zo'n bolle er doorheen en aan de uiterst een rond 
B: 	ja A 
A: 	jij zijn ja 
B: 	ballonne eruit en dan zo'n bol vooraan met zo'n staaf er doorheen met dat rond 
A: 	met die cirkel aan de ja 
B: 	ja met die cirkel aan de rechter uiteinde 
A: 	ja vijf 
A: 	die een met dat ballonne er in en dan dat staaf aan de voorkant met een bolle en dat cirkel 
B: 	ja die doorboren zegmaar ja H 
B: 	met dat ballonne er in en dat bolle aan de voorkant wat doorboren zijn en dan zitten er rechts nog zo'n rond 
A: 	vijftien 
