B: 	ik hebben de trofee 
A: 	de trofee 
B: 	ja met als enig zo'n uitstulpsel echt onder 
B: 	lijken op de trofee 
B: 	staan op zo'n drie 
A: 	ja ja hij staan op zo'n driehoek en dan zo'n DNAspiraal naar boven 
B: 	ja 
A: 	oké dat zijn nummer vier 
A: 	die een met dat driehoekig voe en die DNAspiraal 
B: 	ja 
B: 	dat zijn bij mij A 
A: 	oké 
B: 	met dat voe 
B: 	die trofee 
A: 	ja 
B: 	dNAstreng 
A: 	de 
A: 	dat zijn nummer acht 
A: 	die met dat DNA en dat voe dat driehoekig voe 
B: 	ja zijn L 
B: 	ik hebben die met die dNAstreng 
A: 	ja dat zijn nummer vier 
A: 	die met dat dNAdingetje 
A: 	en dit blok 
B: 	ja 
B: 	F 
