A: 	oké ik zullen proberen met het in een gezichtsvorm te praten 
B: 	oké 
A: 	hij hebben een beetje zo'n eineus 
B: 	ja 
A: 	snapan je dan wat ik bedoelen 
B: 	ja 
A: 	oké daar zijn er dus twee van over 
B: 	ja 
A: 	en die van mij hebben dan eigenlijk zo ook zo'n klein sprie als net 
B: 	ja 
A: 	niet dus niet twee 
B: 	en hebben die iets door zijn neus 
A: 	ja 
B: 	ja dan weten ik welk je bedoelen 
A: 	oké 
B: 	oké F 
B: 	oké dit zijn weer dat poppe met die eineus en daar zitten een ding doorheen 
A: 	ja 
A: 	ja en dat pluimp bovenin 
B: 	ja 
A: 	ja 
A: 	oké dat zijn vijf 
A: 	ik hebben weer een eineus 
A: 	maar dan met die balk door zijn neus 
B: 	ja 
B: 	ja 
B: 	oké dat zijn A 
B: 	oké ik hebben de neus met de ding erdoorheen 
A: 	ja 
A: 	ja en het pluimp 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer vijf 
A: 	ik hebben weer dat eineusding met een zo'n zo'n paal door de neus 
B: 	ja 
B: 	dat zijn H 
B: 	ik hebben de Eineus met de ding erdoorheen 
A: 	ja 
A: 	oké dat zijn nummer vijftien 
