A: 	ik hebben geen idee wat dit zijn maar het hebben gewoon twee mooi balk of heel dun reep zeggen maar 
A: 	en boven zo'n pastoorhoed zeggen maar 
B: 	en zeggen maar een zijn een isteken aan de zijkant 
A: 	ja ja dat zijn wel een goed ja 
B: 	ja 
A: 	ja een zijn 
A: 	ja dat zijn wel goed ja 
B: 	I 
B: 	het zijn weer die met dat istek aan de zijkant 
A: 	jou beurt 
A: 	ja ja 
A: 	twee 
A: 	die istek 
B: 	ja 
B: 	M 
B: 	die met dat istek 
A: 	negen 
A: 	de istek 
A: 	ik moeten even zitten weten je 
B: 	F 
B: 	de istek 
A: 	zes 
