B: 	nou dit zijn dan weer gewoon zo'n soort emmercupding en het lijken alsof daarvoor een schap zijn ophangen waar de poo nog onder staan en daarop staan een bak 
A: 	ja ja ja 
A: 	inderdaad ja zestien 
A: 	dit zijn dat schap waar jij het over hebben zo'n zo'n cupje met een schap en daar staan dan nog iets op 
B: 	met een een bak erop 
A: 	ja 
B: 	dat zijn P 
B: 	dit zijn het emmer met het schap ervoor 
A: 	ja 
A: 	even kijken waar staan die 
A: 	veertien 
A: 	het schap met het cupje erop 
B: 	ja dat zijn N 
B: 	dit zijn het schap 
B: 	aan de voorkant een schap met een bak erop 
A: 	ja tien 
A: 	het schap 
B: 	het schap 
B: 	dat zijn D 
