A: 	het lijken een beetje op een rugtas met een boek zeggen maar zo half eruit maar wel een rugtas met twee arm 
B: 	die ja 
B: 	ja dat zijn K 
B: 	ja hier zijn het eigenlijk weer die rugtas niet die dat klein rugtas maar die groot met die uitsteeksel 
A: 	groot met de uitsteeksel en dat een flap daarachter toch ? die schuin achter 
B: 	ja ja 
A: 	ja negen 
A: 	dit zijn de groot rugtas 
B: 	groot rugtas dat zijn F 
B: 	de groot rugtas 
A: 	groot rugtas ja 
A: 	drie 
A: 	dit zijn de groot tas 
B: 	de groot tas 
A: 	groot rugtas 
B: 	nee ik hebben alleen de klein zien 
B: 	waar ? ah daar 
B: 	L 
B: 	dit zijn de groot boekentas 
A: 	groot boekentas waar staan je nou ? 
A: 	ja 
A: 	vijf 
