A: 	ja deze hebben zeggen maar die emmer en dan hebben je bovenop zo'n rond staan en dan aan de zijkant zitten weer precies hetzelfde figuur 
A: 	en aan de rechterkant zo zitten ja zo'n vierkant telescoop zeggen maar dus zo'n vierkant wat de heel tijd klein worden 
B: 	ja 
B: 	even kijken aan de bovenkant zitten een rond 
A: 	ja wat zijn dat ? zo'n langwerpig ja soort handvat of zo achtig 
A: 	en aan de zijkant zitten die zitten weer precies dezelfde vorm zeggen maar 
B: 	ik weten welk even kijken waar die staan 
A: 	en aan de achterkant zitten nog zo'n buis 
A: 	of iets 
B: 	ja en dan ja ja ja ja ik hebben hem 
B: 	dat zijn E 
A: 	oké 
B: 	dit zijn die met met met die kegel bovenop en die kegel aan de zijkant 
B: 	en aan de voorkant dat rechts dat blok dat steeds klein worden 
A: 	ja precies aan de achterkant nog die buis 
B: 	en ja exact 
A: 	ja dat zijn elf 
A: 	ja dit zijn weer die met die rond vorm aan de bovenkant en aan de zijkant 
A: 	en dan die vierkant die klein worden ook aan de aan de voorkant zeggen 
A: 	aan de achterkant die buis 
B: 	ja ik kunnen ja ik zien hem ja 
B: 	J 
A: 	hoe zullen we die noemen 
A: 	ik vinden het nog 
B: 	weten ik niet 
A: 	ik vinden 
B: 	vinden ik moeilijk 
A: 	ja 
B: 	beetje bowlingkegel lijken het wel 
A: 	ja ik vinden het een beetje zo'n telescoopachtig ding 
B: 	daar hebben het ook wel iets van weg 
A: 	telescoop doen 
B: 	dit zijn die die twee kegel en dat vierkant dat klein worden 
A: 	wachten even zoeken 
B: 	en die Buis achterop 
A: 	ja ja ja ja 
A: 	ik weten welk je bedoelen 
A: 	ik zijn hem even aan het zoeken ik kunnen hem niet 
A: 	met dat vierkant ja precies 
A: 	negen 
A: 	ja dit zijn die telescoop zeggen maar 
A: 	dit zijn die 
B: 	ja dat dat vierkant blok hè ? dat vierkant 
A: 	dat vierkant dat steeds klein worden en die twee zelfde figuur 
B: 	en en die en die 
B: 	ja en dan één daar één daar 
A: 	ja ja ja ja 
B: 	oké B 
B: 	dit zijn dat dat gek ding met die dat vierkant en de twee kegel 
B: 	het vierkant dat klein worden 
A: 	ah zo 
B: 	dat blok 
A: 	ja die telescoop achtig ding 
B: 	ja telescoop dat zijn het ja 
A: 	ja weten ik veel ja 
A: 	dat zijn vier 
