B: 	deze staat op zo'n plaat en die hebben van die fliebeltjes uit zijn oor 
A: 	ja 
A: 	oké ik denken dat ik hem al weten 
B: 	ja 
B: 	en zo'n plat voorkant 
A: 	het 
A: 	ja 
A: 	ja ja ja 
A: 	dat zijn elf 
A: 	ja dit zijn die zegmaar weer die op zo'n plaat 
A: 	of zegmaar ja zo'n plaat 
B: 	ja echt zo'n die plat ja 
A: 	dienblad 
B: 	met die fliebeltjes 
A: 	ja precies met die hendel en 
B: 	ja oké 
B: 	ja 
B: 	oké P 
B: 	zijn dat 
B: 	ja dit zijn weer met die rond aan de zijkant met een plat schijf aan de voorkant 
B: 	en plaat aan de onderkant 
A: 	ja dat zijn ja gewoon die dat dat dienbladen ja 
B: 	ja dat dienblad inderdaad ja ja 
A: 	ja precies vier ja 
A: 	ja dit zijn weer dat geen met het dienblad 
B: 	ja 
B: 	even kijken ja dat zijn P 
B: 	ja dit zijn weer met dat dienblad dus die die groot 
A: 	ja 
A: 	ja precies dat met die hendel dat zijn dertien 
B: 	ja 
B: 	ja 
A: 	dit zijn weer dienblad 
B: 	ah ja dat zijn A 
