A: 	oké 
B: 	oké deze hebben een soort van van die robotog van die vierkant uitstulpsels 
B: 	met zo'n plat plat vierkant aan de voorkant 
A: 	plat vierkant daar ja ja ja 
B: 	ja 
A: 	oké ja dat zijn vijf 
A: 	oké dit zijn weer die die robotog zoals je die noemen 
B: 	ja ja ja oké 
B: 	ja dat zijn K 
B: 	ja dit zijn weer die robotog zeggen maar 
A: 	oké ja sure duidelijk negen 
A: 	dit zijn weer met die robotog 
B: 	ja 
B: 	even kijken ja dat zijn L 
B: 	ja dit zijn weer die robot 
A: 	oké 
B: 	ja 
A: 	elf 
A: 	ja dit zijn die robot 
B: 	ja even kijken hoor 
B: 	waar zitten hij ? ja dat zijn N 
