A: 	nou we hebben weer de hoofdvorm 
A: 	hier staan ook een soort feestmutsje 
A: 	zo'n figuur bovenop de bak 
A: 	aan de voorkant beetje rechtsvoor hebben je een soort van vierkant yoghurtbak die eraan vastgeplakken zijn 
A: 	link hebben hij een uitsteeksel en linksonder nog soort van rond 
B: 	ja 
B: 	dat zijn h 
B: 	op de hoofdvorm staan een pyramide 
B: 	en aan de voorkant zo'n yoghurtbak eraan vastgeplakt rechts 
B: 	link staan een soort van half kegel tegen het tegen de hoofdvorm aan 
B: 	en de hoofdvorm zelf staan eigenlijk op een soort van schuin schuin cirkel 
B: 	dus echt op de hoofdvorm hebben je een soort van pyramide zo rond 
A: 	even kijken hoor 
B: 	een ja 
B: 	ook weer soort van kegel soort van tentvorm 
A: 	wachten ja 
B: 	een ronde tentvorm 
B: 	en dan zitten er een yoghurtbak soort van aan vastgeplakt een vierkant schuin 
A: 	ja 
A: 	ja 
B: 	en 
A: 	schuin rechts denken ik 
B: 	ja 
A: 	en linksonder dan een cirkel 
B: 	en dan links 
B: 	ja 
A: 	ja okee dat zijn nummer een 
A: 	de hoofdvorm hebben een weer feestmutsje op 
A: 	rechtsvoor hebben hij een yoghurtbeker op zich plakken 
A: 	linksvoor onderaan zitten een cirkelt 
B: 	ja 
B: 	h 
B: 	dit zijn de hoofdvorm dat er een dat er soort van feestmutsje op de op de hoofdvorm staan 
B: 	een kegel of een cirkelplateau linksonder aan de zijkant een half kegel en voor een yoghurtbak 
A: 	ja nummer drie 
A: 	deze hoofdvorm hebben een yoghurtbak erop plakken rechtsvoor 
A: 	en hebben een feestmutsje op 
B: 	ja 
A: 	linksvoor en een cirkel 
B: 	n 
B: 	dit zijn de hoofdvorm met het feesthoed bovenop 
A: 	okee nummer veertien 
