A: 	o moeten ik nou weer ? ja ja het hebben een neus een 
B: 	ja 
A: 	niet een rond zeggen maar maar zo'n hexagon en dan een lang staaf en bovenin hebben hij 
A: 	een dubbel vierkantje waar ook ding uitsteken 
A: 	dubbel vierkan wat er schuin in zitten en aan de onderkant hebben je een soort van vierkantje als een soort van glijbaan zijn of zo wat er uit komen 
B: 	o eigenlijk zo'n slurf zo 
A: 	ja er uit en 
B: 	ja en aan de bovenkant een soort van vierkantje inderdaad met aan beide kant iets er uit steken 
A: 	ja ja 
B: 	en link zitten een soort van ja armp ja dat zijn M 
A: 	armp ja 
A: 	waarom zijn het nou opeens allemaal hetzelfde dan 
B: 	ja weten niet maken het wel makkelijk 
B: 	het zijn zegmaar die met zo'n vierkantje bovenop die aan beide kant doorboren zijn aan de onderkant zitten weer zo'n gek 
B: 	glijbaan waar je het net over hebben en hij hebben een heel lang neus bij wijze van spreken 
A: 	ja negen 
A: 	deze hebben dat vierkantje wat schuin zitten waar ding uitkomen en dat glijbaan aan de onderkant 
B: 	ja en met die neus ja H 
A: 	ja 
B: 	dat glijbaan onderin en bovenin zo'n vierkant wat doorboren zijn aan beide kant 
A: 	elf 
A: 	die met dat vierkantje wat zo schuin staan en twee ding er uit steken en dat gleufje en die arm 
B: 	even kijken 
B: 	even kijken met die arm 
A: 	ja aan de zijkant steken een armpie uit 
A: 	en aan de voorkant zo'n lang 
B: 	dat bovenste vierkan wat doorboren zijn aan beide kant 
A: 	ja 
A: 	ja 
B: 	o ja dat ja sorry D 
B: 	dat glijbaan onderaan en doorbooren vierkant aan beide kant bovenaan 
A: 	veertien 
