B: 	oké dit zijn met die wokkel aan de onderkant 
B: 	snapen je 
A: 	die torderen 
B: 	ja die ja precies 
A: 	ja precies 
A: 	dat zijn vier 
A: 	die wokkel 
B: 	die gaan snel 
A: 	ja dit zijn weer met dat torderen ding 
B: 	ja A 
A: 	ja 
B: 	dit zijn die met die wokkel 
A: 	met die wokkel 
A: 	oké dat zijn tien 
B: 	lijken een beetje op een cocktail als ik er zo lang naar kijken 
A: 	ja of een trofee of zo of iets 
B: 	of een trofee een beetje zo'n zo'n drankjeachtig ja zo'n ja zo'n beker lijken het op ja 
A: 	ja ja ja 
A: 	ja 
A: 	ja zoiets 
A: 	ja dit zijn die trofee met het torderen 
B: 	ja 
B: 	dat zijn dat zijn L 
B: 	de trofee de de de de beker de wokkel 
A: 	de trofee 
A: 	vier 
A: 	ja dit zijn die trofee met die wokkel 
B: 	ja 
B: 	dat zijn F 
