B: 	o ja dit doen me een beetje denken aan een juichen poppe of zo die ook een beetje aan het dansen zijn of zo want er zitten 
B: 	onder dat ja gewoon dat bol zeggen maar zitten een draaien iets zeggen maar op een op een driehoekig plateau 
A: 	ja 
B: 	en daarboven zitten een vierkant en link zitten nog een uitstekel en middenop het lichaam zeggen maar zitten ook een hoofd een vierkantje 
B: 	tenminste bij deze zijn alleen dat aan de onderkant vooral heel erg iets uitsteken dat een beetje zo ronddraaien 
A: 	ja 
A: 	ja dat dat zien ik ook wel maar en dan hebben hij aan de bovenkant twee vierkant en een zo'n ding 
B: 	ja 
B: 	ja 
A: 	okan ja ik vinden het een beetje op een omgekeerde hond lijken of zo maar ok bij mij zijn dat vier 
B: 	o ok ik snapn inderdaad wel wat je zien ja ja bij mij zijn het C 
A: 	ja toch 
A: 	oken ik moeten klikken toch 
B: 	sorry ja dat zijn waar ook 
A: 	ja dit zijn die omgekeerde hond voor jou het juichend poppe 
B: 	even kijken waar die dat zijn bij mij A 
A: 	ok bij mij acht 
B: 	ok 
B: 	o dit zijn die een wat jij denken van achterkant een hond en waarbij ik een juichen poppet zien 
A: 	denken ik een hond ? bij iets 
B: 	of wat zijn het dan zijn een dier in ieder geval dat achter aan zij zicht of het achterzicht van iets 
A: 	even kijken je juichend poppe die die omgekeerde hond ja ja nee je hebben helemaal gelijk ja nee je hebben gelijk zijn bij mij tien 
B: 	o of omgekeerde hond dan ja 
B: 	ok bij mij K 
A: 	ok 
A: 	dit zijn die omgekeerde hond juichend poppe 
B: 	even kijken 
B: 	L bij mij 
A: 	ja bij mij twee 
A: 	snapten niet hoe je daar een juichen poppe in zien 
B: 	ja ik weten niet beetje wel met kort armpjes maar beetje zo ja ik weten zijn wel met een beetje fantasie ja 
A: 	ja maar ja dat zijn natuurlijk allemaal op een geven moment dan zien je er gewoon iets in en dan blijven dat ook zo 
B: 	ja 
B: 	ja dan ja dat zijn dan makkelijkst manier om het te onthouden 
B: 	o dit zijn de omgekeerde hond voor jou en het juichend poppe voor 
A: 	even kijken waar die staan o ja zijn vier bij mij 
B: 	ok bij mij E 
A: 	dit zijn de hond slash juichend poppe 
B: 	o daar F 
A: 	twee 
